time,interception,snowpack,swc_l01,swc_l02,swc_l03,swc_lall,unsatSTW,satSTW,sealedSTW,sm_l01,sm_l02,sm_l03,sm_lall,total,interception_anomaly,snowpack_anomaly,swc_l01_anomaly,swc_l02_anomaly,swc_l03_anomaly,swc_lall_anomaly,unsatSTW_anomaly,satSTW_anomaly,sealedSTW_anomaly,total_anomaly,interception_pctl,snowpack_pctl,swc_l01_pctl,swc_l02_pctl,swc_l03_pctl,swc_lall_pctl,unsatSTW_pctl,satSTW_pctl,sealedSTW_pctl,total_pctl
1991-01-01,0.20416587468565348,0.31488339846730523,71.26099876334234,77.17624140099494,220.13791882963537,1774.9150813412002,10.209876463663473,22.009966611476923,1.8023067158415658,0.9667196056683404,0.9928900944071508,0.9921655766339325,0.9860639340784446,1809.456280405335,-0.03164570275578793,-12.851451814855313,0.7307609050968438,0.6596557808763635,0.024395201351808282,7.373268032303031,-0.13534759456033463,-0.5751999689551113,-0.14464654729517878,-6.36502359611859,22.580645161290324,6.451612903225806,51.61290322580645,54.83870967741935,51.61290322580645,54.83870967741935,51.61290322580645,51.61290322580645,22.580645161290324,32.25806451612903
1991-02-01,0.17645700214846866,5.912575893556207,67.99873054904478,77.04509456631256,220.24435661092775,1757.0812358202058,3.2126491463960893,18.42507337121432,1.1875276263940884,0.9223172096807402,0.9909082029316509,0.9926309902413121,0.9761562421223365,1785.995518859915,-0.016945457065413755,-7.522548176319381,-1.8290891710910842,-0.08314659821657244,-0.5034111090895124,-12.909289083315343,-7.114715786371811,-6.4340400703841105,-0.5181462507398045,-34.51568482419589,38.70967741935484,45.16129032258065,19.35483870967742,25.806451612903224,25.806451612903224,19.35483870967742,6.451612903225806,22.580645161290324,9.67741935483871,12.903225806451612
1991-03-01,0.05546295496383456,0.0030759764077646252,54.47671527924843,76.03898354638494,220.31789679957402,1678.3066655494367,3.392993070580722,16.17573071917344,0.3560455078582925,0.7382043237487455,0.9765799184590951,0.9928307580228934,0.9323925919719093,1698.289973778421,-0.08964929685284369,-6.524114362026108,-9.727080942344678,-0.8517415635894139,-0.8328659431453787,-60.54047238210774,-7.378450965439615,-10.52733493946588,-0.6931267632566762,-85.75314870914872,4.3478260869565215,4.3478260869565215,8.695652173913043,8.695652173913043,13.043478260869565,8.695652173913043,13.043478260869565,8.695652173913043,4.3478260869565215,8.695652173913043
1991-04-01,0.11344279499466561,0.3243413630484658,42.36676227092427,72.96494048469849,220.04716952130013,1593.0167641384687,2.390420059973858,13.478394841133063,0.7167722953467794,0.5726405966002892,0.9301818956848804,0.9910590318353492,0.8850093134102605,1610.0401354929654,0.02294654657607073,-0.03715562983956977,-6.981690994017349,-1.6316914445773563,-1.0108213714039778,-50.452832796252096,-3.6106305343512672,-12.427475562702412,0.13064693860457133,-66.37450103796482,69.56521739130434,78.26086956521739,21.73913043478261,21.73913043478261,8.695652173913043,21.73913043478261,13.043478260869565,8.695652173913043,65.21739130434783,17.391304347826086
1991-05-01,0.09216359841674336,0.0036757734939565816,42.55680741886685,69.52166117758357,219.63451574107845,1570.2007772660631,3.4866758427162634,11.836348442439405,0.7609658344825541,0.5743714664868589,0.8777183976616116,0.988307694977286,0.8723337651478128,1586.380606757612,0.004283895291562451,0.0016416901076103099,3.3613121192733857,1.6441053739608833,-0.6360203490856691,22.025787456693024,0.03378573812350405,-9.404166580773406,0.04658292372859796,12.707915123170778,56.52173913043478,91.30434782608695,78.26086956521739,56.52173913043478,17.391304347826086,65.21739130434783,52.17391304347826,8.695652173913043,56.52173913043478,52.17391304347826
1991-06-01,0.11041504497717629,0.0,40.59471429689188,64.4898782967096,218.8572840087338,1529.2552976373267,4.220297912034324,11.043680572967574,0.6438465431247391,0.5477038444861689,0.8089800270431869,0.9832211052107949,0.8495862764651816,1545.2735377104304,0.03136328584842943,0.0,1.437643110608093,3.194866027629466,-0.35289010175853264,21.58457816114492,-0.2651937155607893,-7.3113669603736895,0.01045077269521899,14.049831543753726,86.95652173913044,4.3478260869565215,65.21739130434783,65.21739130434783,47.82608695652174,65.21739130434783,69.56521739130434,8.695652173913043,56.52173913043478,60.869565217391305
1991-07-01,0.03727423372066203,0.0,36.6061715799663,61.23816635224754,218.06789727232152,1487.9360649860935,4.050162649134907,12.654415474890923,0.35895836751111293,0.49363403390500915,0.7685395869326098,0.9786422222247348,0.8266311472144964,1505.036875711351,-0.039617031023734296,0.0,-2.6547427163094284,4.227717775127388,0.03791260347824732,7.412527056684894,-0.026790944247129467,-3.3134457634883248,-0.28675789753879627,3.7459154203868366,8.695652173913043,4.3478260869565215,34.78260869565217,60.869565217391305,43.47826086956522,43.47826086956522,56.52173913043478,30.434782608695652,21.73913043478261,43.47826086956522
1991-08-01,0.07368963918332808,0.0,37.1714009126223,55.748305084489594,216.87988234180182,1452.2993158786783,3.038979049134668,11.789578794946275,0.4940183602659338,0.5008029974641468,0.69288883531571,0.9710461599324072,0.8068329532659324,1467.6955817222085,-0.014503368731980146,0.0,-3.81935000628296,-1.2360476547747652,-0.3284766403668584,-34.31072834908946,-2.001656835015254,-3.5779422894610295,-0.23926545019192114,-40.14409629248985,43.47826086956522,4.3478260869565215,30.434782608695652,39.130434782608695,34.78260869565217,34.78260869565217,47.82608695652174,26.08695652173913,21.73913043478261,34.78260869565217
1991-09-01,0.07021700678359745,0.0,29.340313112580812,46.60068941048731,215.3161403814204,1355.8792147569543,0.5595074945269728,9.062045383680037,0.43162069794699565,0.39483621902843974,0.5743497902975458,0.9614744616519684,0.7532662304205302,1366.002605339892,-0.031816849925551144,-2.03400640033385e-05,-15.796123915204998,-13.19266895648704,-1.6959772112994074,-165.9396871776696,-4.497408104058972,-6.099355872433501,-0.3914264555592415,-176.9597147997108,13.043478260869565,4.3478260869565215,4.3478260869565215,17.391304347826086,21.73913043478261,8.695652173913043,8.695652173913043,21.73913043478261,8.695652173913043,8.695652173913043
1991-10-01,0.09318725266965715,0.014916431912878933,33.6792742115602,44.08624133919825,214.49377151031095,1360.1719460156476,0.5373061889591534,6.520060157812705,0.891168608489512,0.45347860558201863,0.5429255340864132,0.9562945593146777,0.7556510811198042,1368.2285846554914,-0.03962035063394577,-0.06271115885099943,-17.414237381497614,-19.941005162323094,-2.7961199510687607,-217.76836880767223,-4.544373382824102,-8.551673777695417,-0.21543102718785556,-231.18217850486462,26.08695652173913,65.21739130434783,4.3478260869565215,8.695652173913043,17.391304347826086,8.695652173913043,4.3478260869565215,13.043478260869565,30.434782608695652,8.695652173913043
