date,sm,sm_l1,sm_l2,sm_l3,recharge,runoff,pet,et,precip,smi_percent,ssi,sgi,recharge_percent,runoff_percent,pet_percent,et_percent,aridity_index,qsim_monthly_mean_x,qsim_monthly_min_x,qsim_monthly_max_x,qsim_monthly_std_x,discharge_percent_x,sdi_x,drought_class,drought_flag,month,season,qsim_monthly_mean_y,qsim_monthly_min_y,qsim_monthly_max_y,qsim_monthly_std_y,discharge_percent_y,sdi_y,qsim_monthly_mean,qsim_monthly_min,qsim_monthly_max,qsim_monthly_std,discharge_percent,sdi
1990-01-01,0.4232685589071089,0.5344627634228424,0.3920743645857329,0.4232685589071089,5.031525357761062,27.5222525616916,12.52456422096607,8.49440958893784,68.40034341923102,2.083333333333333,-2.0368341317013883,-0.7028730448988886,27.08333333333333,66.66666666666666,14.583333333333334,6.25,0.1831067447162076,116.0603754756833,20.23774953135293,142.82322310414767,24.072768461207563,62.5,0.3186393639643751,mild_drought,True,1,Winter,116.0603754756833,20.23774953135293,142.82322310414767,24.072768461207566,62.5,0.3186393639643751,116.0603754756833,20.23774953135293,142.82322310414767,24.072768461207566,62.5,0.31863936396437514
1990-02-01,0.640050083693914,0.8973015922029318,0.5677653193430082,0.640050083693914,10.079054076865692,30.691001089715115,27.868583562975417,22.567260260814304,164.4179457769899,10.416666666666668,-1.2581615610630963,0.0254371472494956,58.333333333333336,72.91666666666666,33.33333333333333,33.33333333333333,0.1694984293306722,141.04646460260966,82.65669957202162,247.8196671915803,49.86860592483389,72.91666666666666,0.6102946101863322,mild_drought,True,2,Winter,141.0464646026097,82.65669957202162,247.8196671915803,49.86860592483389,72.91666666666666,0.6102946101863322,141.0464646026097,82.65669957202162,247.8196671915803,49.86860592483389,72.91666666666666,0.6102946101863322
1990-03-01,0.7599962151631905,0.8635482365977285,0.7310514608076165,0.7599962151631905,12.750145768023906,29.15625347694542,49.616764029447744,37.19091291184062,12.98044943703358,45.83333333333333,-0.1046334556140755,0.3096814819910558,68.75,68.75,50.0,50.0,3.82242265725328,140.57366484650063,82.54643405148902,305.1754112270344,68.40157875090405,70.83333333333334,0.5485222826980983,normal_or_wet,False,3,Frühling,140.57366484650063,82.54643405148902,305.1754112270344,68.40157875090405,70.83333333333334,0.5485222826980983,140.57366484650063,82.54643405148902,305.1754112270344,68.40157875090405,70.83333333333334,0.5485222826980983
1990-04-01,0.7364657778067103,0.7472144546876842,0.7332668986368134,0.7364657778067103,6.038711244174324,17.732905692567197,63.582791745271166,48.77180562787173,29.40938419389724,37.5,-0.3186393639643751,-0.5258247759832063,37.5,39.58333333333333,54.16666666666666,60.41666666666666,2.1619899051971743,80.0685006747595,71.06444724181203,90.1925260251465,5.113551960739438,45.83333333333333,-0.1046334556140755,normal_or_wet,False,4,Frühling,80.0685006747595,71.06444724181203,90.1925260251465,5.113551960739438,45.83333333333333,-0.1046334556140755,80.0685006747595,71.06444724181203,90.1925260251465,5.113551960739438,45.83333333333333,-0.10463345561407554
1990-05-01,0.6810493029590252,0.579309283031791,0.7096770229623877,0.6810493029590252,2.9444667849025694,13.450351510425438,120.03389725312547,68.50271996638551,12.472409611545643,16.666666666666664,-0.967421566101701,-1.1748293204420113,10.416666666666668,20.833333333333336,85.41666666666666,77.08333333333334,9.623954070752356,59.05438285813487,49.394868143671744,70.83735147723384,5.620455194581039,25.0,-0.6744897501960817,moderate_drought,True,5,Frühling,59.05438285813487,49.394868143671744,70.83735147723384,5.620455194581039,25.0,-0.6744897501960817,59.05438285813487,49.394868143671744,70.83735147723384,5.620455194581039,25.0,-0.6744897501960817
1990-06-01,0.6836070127160013,0.6456997038682825,0.6944526999854548,0.6836070127160013,5.766481253012962,15.024830771634688,109.05584080848756,83.43166004134665,72.2452814626575,18.75,-0.887146559018876,-0.5714545983505934,31.25,27.08333333333333,75.0,95.83333333333334,1.5095219867730305,65.92828218155317,51.47561903576239,92.47897959723456,10.512118768496782,29.166666666666668,-0.5485222826980979,mild_drought,True,6,Sommer,65.92828218155317,51.47561903576239,92.47897959723456,10.512118768496778,29.166666666666668,-0.5485222826980979,65.92828218155317,51.47561903576239,92.47897959723456,10.512118768496778,29.166666666666668,-0.5485222826980979
1990-07-01,0.6907476246384405,0.6448408340299324,0.7040042178698084,0.6907476246384405,7.8821234872970045,15.519940793425462,131.66602235771344,78.83304352974766,28.94473278276968,20.833333333333336,-0.8122178014999129,-0.2498735470850654,50.0,31.25,97.91666666666666,83.33333333333334,4.54887676268658,70.48026563483168,45.02643437686273,106.16339864367664,19.59568558702238,35.41666666666667,-0.3740954101977233,normal_or_wet,False,7,Sommer,70.48026563483168,45.02643437686273,106.16339864367664,19.59568558702238,35.41666666666667,-0.3740954101977233,70.48026563483168,45.02643437686273,106.16339864367664,19.59568558702238,35.41666666666667,-0.37409541019772335
1990-08-01,0.597835086875482,0.4599728653025972,0.6373952260730096,0.597835086875482,1.4895900752506692,10.10092804568929,121.81912067628464,55.6028517247626,47.4921214033068,4.166666666666666,-1.731664396122245,-1.691951856557063,2.083333333333333,6.25,91.66666666666666,66.66666666666666,2.565038517479292,41.92683148348405,32.92259200008581,98.76972263785608,12.103306343037888,6.25,-1.5341205443525463,extreme_drought,True,8,Sommer,41.92683148348405,32.92259200008581,98.76972263785608,12.103306343037888,6.25,-1.5341205443525463,41.926831483484044,32.92259200008581,98.76972263785608,12.103306343037888,6.25,-1.5341205443525463
1990-09-01,0.6390283493198456,0.6492932373154638,0.636568792426609,0.6390283493198456,3.336795080480188,10.268623854900406,67.90807764715119,45.07061094578393,54.061105735837046,8.333333333333332,-1.382994127100638,-1.0704590111493564,12.5,8.333333333333332,56.25,54.16666666666666,1.256135565908986,46.54459127436469,30.61967275105725,94.68875027387152,15.736334121773204,8.333333333333332,-1.382994127100638,severe_drought,True,9,Herbst,46.54459127436469,30.61967275105725,94.68875027387152,15.736334121773202,8.333333333333332,-1.382994127100638,46.544591274364684,30.61967275105725,94.68875027387152,15.736334121773202,8.333333333333332,-1.382994127100638
1990-10-01,0.7130652799100305,0.7946960145935248,0.6901900427634993,0.7130652799100305,10.018131613601165,17.502227483979485,41.35364596802342,31.92424569604887,87.05747084786383,29.166666666666668,-0.5485222826980979,0.0183890688598022,56.25,37.5,41.66666666666667,41.66666666666667,0.4750154761593115,74.44722188386991,41.34332824897558,171.3254316246249,36.29579778983094,39.58333333333333,-0.2641469768259237,normal_or_wet,False,10,Herbst,74.44722188386991,41.34332824897558,171.3254316246249,36.29579778983094,39.58333333333333,-0.2641469768259237,74.44722188386991,41.34332824897558,171.3254316246249,36.29579778983094,39.58333333333333,-0.26414697682592375
