year,min_smi,min_recharge,min_runoff,min_discharge,drought_months
1990,2.083333333333333,2.083333333333333,6.25,6.25,6
1991,6.25,4.166666666666666,2.083333333333333,2.083333333333333,4
1992,14.583333333333334,6.25,12.5,14.583333333333334,2
1993,25.0,20.833333333333336,10.416666666666668,12.5,1
