nSoil_Types 2676
SOIL_NR	HORIZON	UD[mm]	LD[mm]	Clay[%]	SAND[%]	Bd[gcm-3]	Silt[%]
34	2	100	300	2.5	92.5	1.4	
34	3	300	600	2.5	92.5	1.63	
34	4	600	1000	2.5	92.5	1.63	
34	5	1000	2000	2.5	92.5	1.63	
35	1	0	300	2.5	80.0	1.39	
35	2	300	600	2.5	80.0	1.62	
35	3	600	1000	6.5	76.0	1.6	
35	4	1000	2000	21.0	44.0	1.71	
36	1	0	300	14.5	60.5	1.55	
36	2	300	400	14.5	60.5	1.55	
36	3	400	1000	21.0	44.0	1.71	
36	4	1000	2000	21.0	56.5	1.72	
37	1	0	300	10.0	65.0	1.35	
37	2	300	400	10.0	65.0	1.35	
37	3	400	700	21.0	34.0	1.7	
37	4	700	1200	21.0	56.5	1.52	
37	5	1200	2000	21.0	56.5	1.52	
38	1	0	250	23.5	19.0	1.48	
38	2	250	500	12.5	30.0	1.53	
38	3	500	1000	23.5	19.0	1.68	
38	4	1000	1500	30.0	30.0	1.66	
38	5	1500	2000	30.0	30.0	1.66	
39	1	0	100	2.5	92.5	1.4	
39	2	100	300	2.5	92.5	1.63	
39	3	300	350	2.5	92.5	1.83	
39	4	350	700	2.5	92.5	1.83	
39	5	700	1200	2.5	92.5	1.63	
39	6	1200	2000	2.5	92.5	1.63	
40	1	0	100	2.5	92.5	1.4	
40	2	100	300	2.5	92.5	1.4	
40	3	300	350	2.5	92.5	1.83	
40	4	350	700	2.5	92.5	1.83	
40	5	700	1200	2.5	92.5	1.63	
40	6	1200	2000	2.5	92.5	1.63	
41	1	0	100	10.0	65.0	1.35	
41	2	100	250	10.0	65.0	1.58	
41	3	250	500	21.0	56.5	1.52	
41	4	500	1000	21.0	44.0	1.71	
41	5	1000	2000	21.0	44.0	1.71	
42	1	0	100	4.0	51.0	1.36	
42	2	100	300	4.0	51.0	1.36	
42	3	300	600	4.0	51.0	1.36	
42	4	600	1200	21.0	44.0	1.51	
42	5	1200	2000	21.0	44.0	1.71	
43	1	0	300	4.0	63.5	1.37	
43	2	300	700	4.0	63.5	1.6	
43	3	700	1200	4.0	63.5	1.6	
43	4	1200	2000	4.0	51.0	1.59	
44	1	0	100	6.5	76.0	1.37	
44	2	100	300	10.0	65.0	1.35	
44	3	300	800	21.0	56.5	1.52	
44	4	800	1200	21.0	56.5	1.72	
44	5	1200	2000	21.0	56.5	1.72	
45	1	0	200	2.5	92.5	1.18	
45	2	200	300	2.5	92.5	1.4	
45	3	300	700	2.5	92.5	1.4	
45	4	700	2000	2.5	92.5	1.4	
46	1	0	100	4.0	63.5	1.37	
46	2	100	600	4.0	63.5	1.37	
46	3	600	1200	4.0	63.5	1.37	
46	4	1200	2000	4.0	63.5	1.37	
47	1	0	300	21.0	44.0	1.71	
47	2	300	600	21.0	44.0	1.71	
47	3	600	1000	21.0	44.0	1.71	
47	4	1000	2000	21.0	34.0	1.7	
48	1	0	100	6.5	76.0	1.37	
48	2	100	300	6.5	76.0	1.37	
48	3	300	700	6.5	76.0	1.6	
48	4	700	1000	6.5	76.0	1.6	
48	5	1000	2000	6.5	76.0	1.6	
49	1	0	300	2.5	92.5	1.63	
49	2	300	400	2.5	92.5	1.63	
49	3	400	700	2.5	92.5	1.63	
49	4	700	2000	2.5	92.5	1.63	
50	1	0	200	2.5	92.5	1.4	
50	2	200	300	2.5	92.5	1.4	
50	3	300	400	2.5	92.5	1.83	
50	4	400	600	2.5	92.5	1.63	
50	5	600	800	2.5	92.5	1.63	
50	6	800	2000	2.5	92.5	1.63	
51	1	0	300	2.5	92.5	1.4	
51	2	300	500	2.5	92.5	1.4	
51	3	500	1200	2.5	92.5	1.63	
51	4	1200	2000	2.5	92.5	1.63	
52	1	0	300	2.5	92.5	1.4	
52	2	300	400	2.5	92.5	1.4	
52	3	400	600	2.5	92.5	1.4	
52	4	600	1200	2.5	92.5	1.63	
52	5	1200	2000	2.5	92.5	1.63	
53	1	0	300	2.5	92.5	1.4	
53	2	300	500	2.5	92.5	1.83	
53	3	500	700	2.5	92.5	1.83	
53	4	700	2000	2.5	92.5	1.63	
54	1	0	100	2.5	92.5	1.4	
54	2	100	300	2.5	92.5	1.4	
54	3	300	350	2.5	92.5	1.63	
54	4	350	600	2.5	92.5	1.83	
54	5	600	1000	2.5	92.5	1.63	
54	6	1000	2000	2.5	92.5	1.63	
55	1	0	100	2.5	92.5	1.4	
55	2	100	300	2.5	92.5	1.4	
55	3	300	400	2.5	92.5	1.63	
55	4	400	600	2.5	92.5	1.83	
55	5	600	1200	2.5	92.5	1.63	
55	6	1200	2000	2.5	92.5	1.63	
56	1	0	200	2.5	92.5	1.63	
56	2	200	600	2.5	92.5	1.63	
56	3	600	2000	2.5	92.5	1.63	
57	1	0	300	2.5	80.0	1.39	
57	2	300	600	2.5	80.0	1.62	
57	3	600	1000	10.0	65.0	1.58	
57	4	1000	2000	10.0	65.0	1.58	
58	1	0	300	4.0	63.5	1.37	
58	2	300	750	4.0	63.5	1.6	
58	3	750	1200	14.5	60.5	1.75	
58	4	1200	2000	21.0	44.0	1.71	
59	1	0	100	2.5	92.5	1.4	
59	2	100	200	2.5	92.5	1.4	
59	3	200	400	2.5	92.5	1.83	
59	4	400	700	2.5	92.5	1.83	
59	5	700	2000	2.5	92.5	1.4	
60	1	0	100	2.5	92.5	1.4	
60	2	100	150	2.5	92.5	1.4	
60	3	150	350	2.5	92.5	1.83	
60	4	350	700	2.5	92.5	1.83	
60	5	700	1000	2.5	92.5	1.63	
60	6	1000	2000	2.5	92.5	1.63	
61	1	0	100	2.5	92.5	1.4	
61	2	100	300	2.5	92.5	1.4	
