nSoil_Types 2676
SOIL_NR	HORIZON	UD[mm]	LD[mm]	Clay[%]	SAND[%]	Bd[gcm-3]	Silt[%]
661	3	630	1350	23.5	19.0	1.48	
662	1	0	250	40.0	20.0	1.41	
662	2	250	600	50.0	10.0	1.55	
662	3	600	1100	50.0	10.0	1.55	
663	1	0	100	10.0	65.0	1.35	
663	2	100	450	4.0	63.5	1.6	
663	3	450	600	2.5	80.0	1.62	
663	4	600	1100	6.5	76.0	1.6	
664	1	0	150	6.5	76.0	1.37	
664	2	150	350	2.5	80.0	1.62	
664	3	350	1100	6.5	76.0	1.6	
665	1	0	150	4.0	51.0	1.59	
665	2	150	350	4.0	51.0	1.59	
665	3	350	600	2.5	92.5	1.63	
665	4	600	1100	2.5	92.5	1.63	
665	5	1100	1600	2.5	92.5	1.63	
666	1	0	250	21.0	34.0	1.27	
666	2	250	300	21.0	34.0	1.5	
666	3	300	1100	30.0	30.0	1.46	
667	1	0	100	4.0	31.0	1.34	
667	2	100	450	4.0	31.0	1.57	
667	3	450	550	10.0	65.0	1.58	
667	4	550	1200	10.0	65.0	1.58	
668	1	0	150	2.5	92.5	1.63	
668	2	150	450	2.5	92.5	1.63	
668	3	450	2000	2.5	92.5	1.63	
669	1	0	250	10.0	12.5	1.52	
669	2	250	550	14.0	10.5	1.5	
669	3	550	1100	14.5	60.5	1.55	
670	1	0	300	20.0	8.0	1.24	
670	2	300	500	20.0	8.0	1.47	
670	3	500	600	14.0	10.5	1.5	
670	4	600	1000	27.5	5.0	1.44	
670	5	1000	2000	2.5	92.5	1.63	
671	1	0	300	20.0	8.0	1.24	
671	2	300	400	14.0	10.5	1.5	
671	3	400	800	27.5	5.0	1.44	
671	4	800	2000	12.5	42.5	1.54	
672	1	0	280	10.0	12.5	1.29	
672	2	280	400	14.0	10.5	1.5	
672	3	400	750	27.5	5.0	1.64	
672	4	750	2000	14.0	10.5	1.5	
673	1	0	300	10.0	12.5	1.52	
673	2	300	500	20.0	8.0	1.24	
673	3	500	700	20.0	8.0	1.47	
673	4	700	800	14.0	10.5	1.5	
673	5	800	2000	14.0	10.5	1.5	
674	1	0	300	14.0	10.5	1.27	
674	2	300	500	14.0	10.5	1.5	
674	3	500	700	23.5	19.0	1.68	
674	4	700	1300	35.0	42.5	1.65	
674	5	1300	2000	35.0	42.5	1.65	
675	1	0	100	21.0	34.0	1.27	
675	2	100	500	21.0	34.0	1.5	
675	3	500	1100	30.0	30.0	1.46	
676	1	0	100	21.0	44.0	1.28	
676	2	100	500	21.0	44.0	1.51	
676	3	500	1100	21.0	44.0	1.51	
677	1	0	150	27.5	5.0	1.21	
677	2	150	1100	35.0	10.0	1.41	
678	1	0	300	12.5	42.5	1.31	
678	2	300	1100	12.5	42.5	1.54	
679	1	0	225	14.5	60.5	1.32	
679	2	225	1100	14.5	60.5	1.55	
680	1	0	150	6.5	76.0	1.37	
680	2	150	350	6.5	76.0	1.6	
680	3	350	1100	10.0	65.0	1.58	
681	1	0	30	12.5	30.0	1.3	
681	2	30	60	12.5	30.0	1.3	
681	3	60	100	21.0	34.0	1.27	
681	4	100	450	21.0	34.0	1.27	
681	5	450	800	21.0	34.0	1.27	
681	6	800	1680	6.5	76.0	1.37	
682	1	0	150	12.5	42.5	1.31	
682	2	150	1100	2.5	92.5	1.63	
683	1	0	150	12.5	42.5	1.54	
683	2	150	350	12.5	42.5	1.54	
683	3	350	600	12.5	42.5	1.54	
683	4	600	1100	12.5	42.5	1.54	
684	1	0	50	6.5	76.0	1.6	
684	2	50	1100	6.5	76.0	1.6	
685	1	0	200	23.5	19.0	1.25	
685	2	200	400	23.5	19.0	1.48	
685	3	400	2000	23.5	19.0	1.48	
686	1	0	200	14.0	10.5	1.27	
686	2	200	400	20.0	8.0	1.47	
686	3	400	1100	30.0	30.0	1.66	
687	1	0	150	12.5	30.0	1.3	
687	2	150	1100	10.0	65.0	1.58	
688	1	0	300	20.0	8.0	1.24	
688	2	300	500	20.0	8.0	1.47	
688	3	500	2000	21.0	44.0	1.71	
689	1	0	200	12.5	30.0	1.3	
689	2	200	450	23.5	19.0	1.48	
689	3	450	1100	21.0	56.5	1.52	
690	1	0	100	21.0	44.0	1.28	
690	2	100	500	21.0	44.0	1.51	
690	3	500	1100	21.0	56.5	1.52	
691	1	0	150	12.5	30.0	1.08	
691	2	150	600	10.0	65.0	1.58	
691	3	600	1100	10.0	65.0	1.58	
692	1	0	200	14.0	10.5	1.27	
692	2	200	400	20.0	8.0	1.47	
692	3	400	1100	14.5	60.5	1.75	
693	1	0	200	14.0	10.5	1.27	
693	2	200	400	20.0	8.0	1.47	
693	3	400	1100	23.5	19.0	1.48	
694	1	0	300	20.0	8.0	1.24	
694	2	300	500	20.0	8.0	1.47	
694	3	500	600	20.0	8.0	1.47	
694	4	600	800	21.0	56.5	1.52	
694	5	800	2000	21.0	34.0	1.7	
695	1	0	200	14.0	10.5	1.27	
695	2	200	400	14.0	10.5	1.5	
695	3	400	600	14.0	10.5	1.5	
695	4	600	1100	30.0	30.0	1.66	
696	1	0	300	20.0	8.0	1.24	
696	2	300	350	20.0	8.0	1.24	
696	3	350	400	23.5	19.0	1.48	
696	4	400	600	20.0	8.0	1.47	
696	5	600	2000	20.0	8.0	1.67	
697	1	0	200	14.0	10.5	1.27	
697	2	200	400	14.0	10.5	1.5	
697	3	400	1100	23.5	19.0	1.48	
698	1	0	150	30.0	30.0	1.23	
698	2	150	450	21.0	44.0	1.28	
698	3	450	800	21.0	56.5	1.72	
698	4	800	1150	21.0	56.5	1.52	
698	5	1150	2000	21.0	56.5	1.52	
699	1	0	200	35.0	10.0	1.18	
699	2	200	450	35.0	10.0	1.18	
699	3	450	600	12.5	30.0	1.53	
699	4	600	900	12.5	30.0	1.53	
699	5	900	2000	20.0	8.0	1.67	
700	1	0	300	20.0	8.0	1.24	
700	2	300	500	20.0	8.0	1.47	
700	3	500	600	10.0	12.5	1.52	
700	4	600	900	20.0	8.0	1.47	
700	5	900	2000	14.0	10.5	1.7	
701	1	0	300	20.0	8.0	1.24	
701	2	300	500	20.0	8.0	1.47	
701	3	500	600	20.0	8.0	1.47	
701	4	600	1400	14.5	60.5	1.55	
701	5	1400	2000	21.0	44.0	1.71	
702	1	0	350	10.0	65.0	1.35	
702	2	350	550	4.0	31.0	1.57	
702	3	550	650	12.5	30.0	1.53	
702	4	650	1200	12.5	42.5	1.54	
702	5	1200	2000	4.0	31.0	1.57	
703	1	0	280	14.5	60.5	1.32	
703	2	280	400	14.5	60.5	1.55	
703	3	400	1200	55.0	22.5	1.55	
703	4	1200	2000	55.0	22.5	1.55	
704	1	0	250	12.5	42.5	1.31	
704	2	250	550	4.0	31.0	1.57	
704	3	550	700	14.5	60.5	1.75	
704	4	700	2000	2.5	92.5	1.63	
705	1	0	20	2.5	92.5	1.4	
705	2	20	100	2.5	92.5	1.63	
705	3	100	600	2.5	92.5	1.63	
705	4	600	2000	2.5	92.5	1.63	
706	1	0	280	2.5	92.5	1.4	
706	2	280	530	2.5	92.5	1.63	
706	3	530	2000	2.5	92.5	1.63	
707	1	0	200	2.5	80.0	1.39	
707	2	200	650	2.5	92.5	1.63	
707	3	650	900	2.5	92.5	1.63	
707	4	900	2000	2.5	92.5	1.63	
708	1	0	300	10.0	65.0	1.35	
708	2	300	1000	10.0	65.0	1.58	
708	3	1000	2000	2.5	80.0	1.62	
709	1	0	300	2.5	80.0	1.39	
709	2	300	500	2.5	80.0	1.62	
709	3	500	2000	14.5	60.5	1.75	
710	1	0	300	12.5	42.5	1.31	
710	2	300	550	12.5	30.0	1.53	
710	3	550	700	12.5	30.0	1.53	
710	4	700	2000	14.5	60.5	1.55	
711	1	0	300	20.0	8.0	1.24	
711	2	300	430	20.0	8.0	1.47	
711	3	430	650	20.0	8.0	1.47	
711	4	650	900	20.0	8.0	1.47	
711	5	900	2000	14.0	10.5	1.5	
712	1	0	300	12.5	42.5	1.31	
712	2	300	500	14.5	60.5	1.32	
712	3	500	900	21.0	34.0	1.5	
712	4	900	1200	30.0	30.0	1.66	
712	5	1200	2000	21.0	56.5	1.52	
713	1	0	300	20.0	8.0	1.24	
713	2	300	600	20.0	8.0	1.24	
713	3	600	1000	14.0	10.5	1.7	
713	4	1000	1800	10.0	65.0	1.58	
713	5	1800	2000	14.5	60.5	1.55	
714	1	0	300	21.0	56.5	1.29	
714	2	300	550	35.0	42.5	1.22	
714	3	550	700	40.0	20.0	1.41	
714	4	700	2000	40.0	20.0	1.61	
715	1	0	300	4.0	63.5	1.37	
715	2	300	500	2.5	80.0	1.62	
715	3	500	2000	2.5	92.5	1.63	
716	1	0	250	10.0	65.0	1.35	
716	2	250	550	10.0	65.0	1.58	
716	3	550	1200	6.5	76.0	1.6	
717	1	0	280	10.0	12.5	1.29	
717	2	280	400	14.0	10.5	1.5	
717	3	400	900	20.0	8.0	1.47	
717	4	900	2000	14.0	10.5	1.5	
718	1	0	200	10.0	12.5	1.29	
718	2	200	450	10.0	12.5	1.29	
718	3	450	750	20.0	8.0	1.67	
718	4	750	2000	14.0	10.5	1.5	
719	1	0	250	12.5	42.5	1.31	
719	2	250	500	12.5	42.5	1.54	
719	3	500	700	30.0	30.0	1.66	
719	4	700	900	21.0	56.5	1.72	
719	5	900	2000	14.5	60.5	1.55	
720	1	0	300	12.5	30.0	1.3	
720	2	300	400	12.5	42.5	1.54	
720	3	400	1000	14.5	60.5	1.55	
720	4	1000	1500	21.0	56.5	1.72	
720	5	1500	2000	14.5	60.5	1.55	
721	1	0	350	14.0	10.5	1.27	
721	2	350	950	20.0	8.0	1.47	
721	3	950	1650	20.0	8.0	1.47	
721	4	1650	2000	20.0	8.0	1.47	
722	1	0	250	10.0	12.5	1.29	
722	2	250	400	14.0	10.5	1.5	
722	3	400	800	40.0	20.0	1.61	
722	4	800	1350	21.0	44.0	1.71	
723	1	0	300	12.5	42.5	1.31	
723	2	300	400	14.5	60.5	1.55	
723	3	400	2000	21.0	44.0	1.71	
724	1	0	50	21.0	44.0	1.28	
724	2	50	2000	10.0	65.0	1.35	
725	1	0	300	10.0	65.0	1.58	
725	2	300	2000	11.0	84.0	1.59	
726	1	0	50	21.0	44.0	1.28	
726	2	50	2000	21.0	44.0	1.51	
727	1	0	50	14.5	60.5	1.32	
727	2	50	2000	14.5	60.5	1.55	
728	1	0	300	2.5	92.5	1.4	
728	2	300	900	2.5	92.5	1.63	
728	3	900	2000	2.5	92.5	1.63	
729	1	0	300	10.0	65.0	1.35	
729	2	300	580	10.0	65.0	1.58	
729	3	580	2000	21.0	44.0	1.51	
730	1	0	300	2.5	92.5	1.4	
730	2	300	1000	2.5	92.5	1.63	
730	3	1000	2000	2.5	92.5	1.63	
731	1	0	300	10.0	65.0	1.58	
731	2	300	500	11.0	84.0	1.59	
731	3	500	750	21.0	56.5	1.52	
731	4	750	2000	14.5	60.5	1.55	
732	1	0	100	21.0	44.0	1.28	
732	2	100	400	21.0	44.0	1.28	
732	3	400	2000	2.5	92.5	1.63	
733	1	0	250	2.5	92.5	1.63	
733	2	250	400	2.5	92.5	1.63	
733	3	400	600	2.5	92.5	1.63	
733	4	600	2000	2.5	92.5	1.63	
734	1	0	50	2.5	92.5	1.4	
734	2	50	300	2.5	92.5	1.4	
734	3	300	550	2.5	92.5	1.4	
734	4	550	1150	2.5	92.5	1.63	
734	5	1150	2000	2.5	92.5	1.4	
735	1	0	100	6.5	76.0	1.37	
735	2	100	200	6.5	76.0	1.37	
735	3	200	400	2.5	80.0	1.62	
735	4	400	2000	2.5	80.0	1.62	
736	1	0	500	11.0	84.0	1.36	
736	2	500	700	2.5	92.5	1.4	
736	3	700	1200	2.5	92.5	1.63	
736	4	1200	2000	2.5	92.5	1.63	
737	1	0	300	2.5	80.0	1.39	
737	2	300	500	2.5	80.0	1.62	
737	3	500	2000	10.0	65.0	1.58	
738	1	0	300	6.5	76.0	1.6	
738	2	300	500	6.5	76.0	1.6	
738	3	500	650	2.5	80.0	1.62	
738	4	650	1050	30.0	30.0	1.81	
738	5	1050	2000	23.5	19.0	1.68	
739	1	0	250	6.5	76.0	1.6	
739	2	250	450	6.5	76.0	1.6	
739	3	450	950	2.5	92.5	1.63	
739	4	950	2000	2.5	92.5	1.63	
740	1	0	100	2.5	92.5	1.18	
740	2	100	2000	2.5	92.5	1.63	
741	1	0	300	6.5	76.0	1.6	
741	2	300	500	6.5	76.0	1.6	
741	3	500	700	6.5	76.0	1.6	
741	4	700	1100	10.0	65.0	1.58	
741	5	1100	1500	14.5	60.5	1.55	
741	6	1500	2000	14.5	60.5	1.75	
742	1	0	300	6.5	76.0	1.6	
742	2	300	500	6.5	76.0	1.6	
742	3	500	1200	6.5	76.0	1.6	
742	4	1200	2000	2.5	80.0	1.62	
743	1	0	300	2.5	92.5	1.63	
743	2	300	500	2.5	92.5	1.63	
743	3	500	700	2.5	92.5	1.63	
743	4	700	1100	21.0	56.5	1.87	
743	5	1100	1450	14.5	60.5	1.9	
743	6	1450	2000	14.5	60.5	1.75	
744	1	0	300	14.5	60.5	1.55	
744	2	300	500	12.5	42.5	1.74	
744	3	500	900	23.5	19.0	1.83	
744	4	900	2000	14.0	10.5	1.7	
745	1	0	500	6.5	76.0	1.37	
745	2	500	1100	2.5	92.5	1.63	
745	3	1100	2000	2.5	92.5	1.63	
746	1	0	300	2.5	92.5	1.4	
746	2	300	500	2.5	92.5	1.63	
746	3	500	1100	2.5	92.5	1.63	
746	4	1100	2000	2.5	92.5	1.63	
747	1	0	100	2.5	92.5	1.4	
747	2	100	300	2.5	92.5	1.63	
747	3	300	1000	2.5	92.5	1.63	
747	4	1000	2000	2.5	92.5	1.63	
748	1	0	300	12.5	30.0	1.53	
748	2	300	500	10.0	12.5	1.52	
748	3	500	700	2.5	92.5	1.63	
748	4	700	2000	2.5	92.5	1.63	
749	1	0	100	2.5	92.5	1.18	
749	2	100	150	2.5	92.5	1.4	
749	3	150	250	2.5	92.5	1.4	
749	4	250	350	2.5	92.5	1.4	
749	5	350	550	2.5	92.5	1.4	
749	6	550	2000	2.5	92.5	1.63	
750	1	0	300	2.5	92.5	1.63	
750	2	300	500	2.5	92.5	1.63	
750	3	500	850	2.5	80.0	1.62	
750	4	850	1250	11.0	84.0	1.59	
750	5	1250	2000	11.0	84.0	1.59	
751	1	0	30	2.5	92.5	1.4	
751	2	30	250	2.5	92.5	1.4	
751	3	250	550	2.5	92.5	1.63	
751	4	550	1050	2.5	92.5	1.63	
751	5	1050	2000	2.5	92.5	1.4	
752	1	0	300	2.5	92.5	1.63	
752	2	300	650	2.5	92.5	1.63	
752	3	650	1100	2.5	92.5	1.63	
752	4	1100	2000	2.5	92.5	1.63	
753	1	0	50	11.0	84.0	1.36	
753	2	50	250	6.5	76.0	1.37	
753	3	250	500	6.5	76.0	1.37	
753	4	500	750	2.5	92.5	1.63	
753	5	750	2000	2.5	92.5	1.4	
754	1	0	300	6.5	76.0	1.6	
754	2	300	550	6.5	76.0	1.6	
754	3	550	750	2.5	80.0	1.62	
754	4	750	2000	2.5	80.0	1.62	
755	1	0	50	11.0	84.0	1.36	
755	2	50	250	6.5	76.0	1.37	
755	3	250	500	6.5	76.0	1.37	
755	4	500	1100	2.5	92.5	1.63	
755	5	1100	2000	2.5	92.5	1.4	
756	1	0	50	2.5	92.5	1.4	
756	2	50	500	2.5	92.5	1.4	
756	3	500	2000	2.5	92.5	1.4	
757	1	0	300	6.5	76.0	1.6	
757	2	300	550	6.5	76.0	1.6	
757	3	550	750	2.5	80.0	1.62	
757	4	750	1250	11.0	84.0	1.79	
757	5	1250	2000	2.5	80.0	1.62	
758	1	0	300	2.5	80.0	1.39	
758	2	300	1000	2.5	92.5	1.4	
758	3	1000	2000	2.5	92.5	1.4	
759	1	0	300	23.5	19.0	1.25	
759	2	300	1000	23.5	19.0	1.48	
759	3	1000	1500	21.0	34.0	1.5	
759	4	1500	2000	11.0	84.0	1.36	
760	1	0	300	14.5	60.5	1.32	
760	2	300	600	14.5	60.5	1.55	
760	3	600	1300	21.0	56.5	1.52	
760	4	1300	2000	6.5	76.0	1.6	
761	1	0	300	12.5	30.0	1.3	
761	2	300	700	23.5	19.0	1.25	
761	3	700	1500	23.5	19.0	1.48	
761	4	1500	2000	2.5	92.5	1.4	
762	1	0	100	21.0	34.0	1.27	
762	2	100	800	21.0	34.0	1.5	
762	3	800	1700	21.0	44.0	1.51	
762	4	1700	2000	2.5	92.5	1.4	
763	1	0	400	6.5	76.0	1.37	
763	2	400	1200	10.0	65.0	1.58	
763	3	1200	1700	2.5	92.5	1.4	
763	4	1700	2000	2.5	92.5	1.4	
764	1	0	50	21.0	44.0	1.28	
764	2	50	500	21.0	44.0	1.51	
764	3	500	2000	2.5	92.5	1.18	
765	1	0	300	10.0	65.0	1.35	
765	2	300	700	11.0	84.0	1.59	
765	3	700	2000	2.5	92.5	1.4	
766	1	0	300	10.0	12.5	1.29	
766	2	300	600	12.5	30.0	1.53	
766	3	600	1300	2.5	92.5	1.63	
766	4	1300	2000	2.5	92.5	1.63	
767	1	0	100	2.5	80.0	1.39	
767	2	100	150	2.5	80.0	1.39	
767	3	150	500	2.5	80.0	1.39	
767	4	500	1200	2.5	80.0	1.39	
767	5	1200	2000	2.5	92.5	1.4	
768	1	0	100	2.5	80.0	1.39	
768	2	100	800	2.5	80.0	1.62	
768	3	800	1500	40.0	20.0	1.61	
768	4	1500	2000	50.0	10.0	1.55	
769	1	0	300	12.5	30.0	1.3	
769	2	300	600	12.5	30.0	1.53	
769	3	600	1000	23.5	19.0	1.68	
769	4	1000	1500	10.0	65.0	1.78	
769	5	1500	2000	11.0	84.0	1.59	
770	1	0	300	10.0	12.5	1.52	
770	2	300	600	14.0	10.5	1.5	
770	3	600	1200	20.0	8.0	1.67	
770	4	1200	2000	10.0	65.0	1.78	
771	1	0	50	10.0	12.5	1.29	
771	2	50	300	14.0	10.5	1.27	
771	3	300	600	20.0	8.0	1.67	
771	4	600	1500	14.5	60.5	1.75	
771	5	1500	2000	11.0	84.0	1.59	
772	1	0	50	10.0	65.0	1.35	
772	2	50	300	10.0	65.0	1.58	
772	3	300	600	14.5	60.5	1.75	
772	4	600	2000	40.0	20.0	1.61	
773	1	0	350	4.0	51.0	1.36	
773	2	350	600	12.5	42.5	1.54	
773	3	600	800	12.5	42.5	1.74	
773	4	800	1200	21.0	71.5	1.74	
773	5	1200	2000	10.0	65.0	1.58	
774	1	0	700	12.5	30.0	1.53	
774	2	700	2000	12.5	30.0	1.53	
775	1	0	350	14.0	10.5	1.5	
775	2	350	2000	14.0	10.5	1.5	
776	1	0	300	14.0	10.5	1.5	
776	2	300	500	20.0	8.0	1.47	
776	3	500	1000	11.0	84.0	1.59	
776	4	1000	2000	2.5	92.5	1.4	
777	1	0	400	14.0	10.5	1.5	
777	2	400	600	14.0	10.5	1.5	
777	3	600	1000	20.0	8.0	1.47	
777	4	1000	2000	14.0	10.5	1.5	
778	1	0	400	14.0	10.5	1.5	
778	2	400	600	14.0	10.5	1.5	
778	3	600	1200	20.0	8.0	1.47	
778	4	1200	1700	14.0	10.5	1.5	
778	5	1700	2000	14.0	10.5	1.5	
779	1	0	400	14.0	10.5	1.5	
779	2	400	500	14.0	10.5	1.5	
779	3	500	800	20.0	8.0	1.47	
779	4	800	1200	11.0	84.0	1.59	
779	5	1200	2000	2.5	92.5	1.4	
780	1	0	350	14.0	10.5	1.5	
780	2	350	600	14.0	10.5	1.5	
780	3	600	1300	20.0	8.0	1.67	
780	4	1300	2000	14.0	10.5	1.5	
781	1	0	400	10.0	12.5	1.52	
781	2	400	1000	14.0	10.5	1.5	
781	3	1000	2000	14.0	10.5	1.5	
782	1	0	300	14.0	10.5	1.5	
782	2	300	500	14.0	10.5	1.5	
782	3	500	800	20.0	8.0	1.67	
782	4	800	1000	14.5	60.5	1.75	
782	5	1000	2000	10.0	65.0	1.58	
783	1	0	350	14.0	10.5	1.5	
783	2	350	1000	14.0	10.5	1.5	
783	3	1000	1500	20.0	8.0	1.47	
783	4	1500	2000	2.5	92.5	1.4	
784	1	0	300	14.0	10.5	1.5	
784	2	300	1000	20.0	8.0	1.47	
784	3	1000	2000	2.5	92.5	1.4	
785	1	0	300	14.0	10.5	1.5	
785	2	300	900	20.0	8.0	1.47	
785	3	900	1700	14.0	10.5	1.5	
785	4	1700	2000	14.0	10.5	1.5	
786	1	0	350	10.0	12.5	1.52	
786	2	350	600	14.0	10.5	1.5	
786	3	600	1200	20.0	8.0	1.47	
786	4	1200	2000	14.0	10.5	1.5	
787	1	0	350	14.0	10.5	1.5	
787	2	350	600	14.0	10.5	1.5	
787	3	600	1000	20.0	8.0	1.47	
787	4	1000	2000	21.0	56.5	1.52	
788	1	0	300	14.0	10.5	1.5	
788	2	300	350	14.0	10.5	1.5	
788	3	350	700	20.0	8.0	1.47	
788	4	700	2000	14.0	10.5	1.5	
789	1	0	1100	40.0	20.0	1.18	
790	1	0	300	40.0	20.0	1.41	
790	2	300	700	40.0	20.0	1.41	
790	3	700	1200	40.0	20.0	1.61	
791	1	0	100	14.0	10.5	1.27	
791	2	100	800	23.5	19.0	1.48	
791	3	800	1200	21.0	34.0	1.5	
791	4	1200	1800	10.0	65.0	1.58	
792	1	0	100	10.0	65.0	1.35	
792	2	100	600	10.0	65.0	1.58	
792	3	600	1100	6.5	76.0	1.6	
793	1	0	100	12.5	30.0	1.3	
793	2	100	500	23.5	19.0	1.48	
793	3	500	1200	21.0	56.5	1.52	
794	1	0	100	14.0	10.5	1.5	
794	2	100	400	20.0	8.0	1.47	
794	3	400	1000	35.0	10.0	1.61	
794	4	1000	1700	50.0	10.0	1.55	
795	1	0	200	14.0	10.5	1.5	
795	2	200	600	14.0	10.5	1.5	
795	3	600	1200	20.0	8.0	1.67	
795	4	1200	2000	30.0	30.0	1.66	
796	1	0	300	10.0	65.0	1.13	
796	2	300	800	6.5	76.0	1.37	
796	3	800	1200	2.5	80.0	1.39	
797	1	0	300	21.0	44.0	1.28	
797	2	300	1100	14.5	60.5	1.32	
798	1	0	200	21.0	34.0	1.05	
798	2	200	500	21.0	34.0	1.27	
798	3	500	1100	2.5	80.0	1.39	
799	1	0	100	30.0	30.0	1.23	
799	2	100	500	30.0	30.0	1.46	
799	3	500	1100	30.0	30.0	1.46	
800	1	0	300	23.5	19.0	1.25	
800	2	300	1000	23.5	19.0	1.25	
800	3	1000	2000	21.0	34.0	1.5	
801	1	0	100	35.0	10.0	1.41	
801	2	100	300	35.0	10.0	1.61	
801	3	300	1100	35.0	10.0	1.61	
802	1	0	100	23.5	19.0	1.25	
802	2	100	350	23.5	19.0	1.48	
802	3	350	600	23.5	19.0	1.48	
802	4	600	1000	20.0	8.0	1.47	
802	5	1000	2000	10.0	12.5	1.52	
803	1	0	1100	23.5	19.0	1.48	
804	1	0	70	20.0	8.0	1.02	
804	2	70	220	20.0	8.0	1.24	
804	3	220	450	20.0	8.0	1.24	
804	4	450	1400	30.0	30.0	1.46	
805	1	0	50	30.0	30.0	1.23	
805	2	50	450	23.5	19.0	1.48	
805	3	450	1100	21.0	44.0	1.51	
806	1	0	60	30.0	30.0	1.23	
806	2	60	470	23.5	19.0	1.25	
806	3	470	1200	12.5	42.5	1.54	
807	1	0	100	23.5	19.0	1.03	
807	2	100	450	23.5	19.0	1.48	
807	3	450	1200	21.0	44.0	1.51	
808	1	0	100	23.5	19.0	1.25	
808	2	100	200	23.5	19.0	1.25	
808	3	200	1100	21.0	34.0	1.5	
809	1	0	100	14.0	10.5	1.27	
809	2	100	500	14.0	10.5	1.5	
809	3	500	800	23.5	19.0	1.48	
809	4	800	1500	14.5	60.5	1.55	
810	1	0	100	23.5	19.0	1.03	
810	2	100	420	23.5	19.0	1.25	
810	3	420	1100	14.5	60.5	1.55	
811	1	0	100	14.5	60.5	1.32	
811	2	100	600	14.5	60.5	1.55	
811	3	600	1100	10.0	65.0	1.58	
812	1	0	300	14.0	10.5	1.5	
812	2	300	600	14.0	10.5	1.5	
812	3	600	1200	20.0	8.0	1.47	
812	4	1200	1700	14.5	60.5	1.55	
813	1	0	300	14.0	10.5	1.27	
813	2	300	350	14.0	10.5	1.27	
813	3	350	700	23.5	19.0	1.68	
813	4	700	1200	21.0	34.0	1.5	
813	5	1200	2000	21.0	56.5	1.52	
814	1	0	300	14.0	10.5	1.27	
814	2	300	700	14.0	10.5	1.5	
814	3	700	1200	23.5	19.0	1.48	
814	4	1200	2000	23.5	19.0	1.48	
815	1	0	280	14.0	10.5	1.27	
815	2	280	390	20.0	8.0	1.24	
815	3	390	1000	23.5	19.0	1.48	
815	4	1000	1800	21.0	44.0	1.51	
816	1	0	200	23.5	19.0	1.03	
816	2	200	600	23.5	19.0	1.25	
816	3	600	1300	21.0	56.5	1.52	
817	1	0	70	35.0	10.0	1.18	
817	2	70	350	23.5	19.0	1.48	
817	3	350	1000	21.0	34.0	1.7	
817	4	1000	2000	21.0	44.0	1.71	
818	1	0	300	14.0	10.5	1.5	
818	2	300	600	14.0	10.5	1.5	
818	3	600	1200	20.0	8.0	1.67	
818	4	1200	2000	21.0	34.0	1.7	
819	1	0	200	23.5	19.0	1.48	
819	2	200	600	30.0	30.0	1.46	
819	3	600	2000	30.0	30.0	1.66	
820	1	0	300	23.5	19.0	1.48	
820	2	300	500	30.0	30.0	1.46	
820	3	500	1300	35.0	10.0	1.61	
820	4	1300	2000	50.0	10.0	1.55	
821	1	0	50	10.0	65.0	1.35	
821	2	50	500	10.0	65.0	1.35	
821	3	500	2000	2.5	92.5	1.4	
822	1	0	50	6.5	76.0	1.37	
822	2	50	2000	6.5	76.0	1.37	
823	1	0	300	14.0	10.5	1.5	
823	2	300	2000	14.0	10.5	1.5	
824	1	0	120	12.5	30.0	1.3	
824	2	120	250	23.5	19.0	1.25	
824	3	250	1100	23.5	19.0	1.25	
824	4	1100	2000	2.5	80.0	1.39	
825	1	0	300	23.5	19.0	1.48	
825	2	300	450	23.5	19.0	1.48	
825	3	450	600	30.0	30.0	1.46	
825	4	600	1100	55.0	22.5	1.55	
825	5	1100	1400	11.0	84.0	1.59	
825	6	1400	2000	6.5	76.0	1.6	
826	1	0	280	10.0	65.0	1.35	
826	2	280	800	6.5	76.0	1.6	
826	3	800	1500	30.0	30.0	1.46	
826	4	1500	2000	6.5	76.0	1.6	
827	1	0	300	21.0	34.0	1.5	
827	2	300	400	21.0	34.0	1.5	
827	3	400	800	35.0	42.5	1.65	
827	4	800	2000	6.5	76.0	1.37	
828	1	0	300	14.0	10.5	1.5	
828	2	300	500	10.0	12.5	1.52	
828	3	500	2000	4.0	8.0	1.54	
829	1	0	50	12.5	42.5	1.31	
829	2	50	150	10.0	65.0	1.35	
829	3	150	600	21.0	34.0	1.27	
829	4	600	2000	2.5	80.0	1.39	
830	1	0	80	21.0	44.0	1.06	
830	2	80	250	21.0	34.0	1.05	
830	3	250	600	21.0	34.0	1.27	
830	4	600	800	4.0	63.5	1.37	
830	5	800	1000	23.5	19.0	1.68	
830	6	1000	1400	23.5	19.0	1.68	
830	7	1400	2000	23.5	19.0	1.68	
831	1	0	280	21.0	44.0	1.51	
831	2	280	600	12.5	30.0	1.53	
831	3	600	2000	10.0	12.5	1.29	
832	1	0	300	14.0	10.5	1.5	
832	2	300	450	14.0	10.5	1.5	
832	3	450	900	35.0	10.0	1.41	
832	4	900	1000	14.0	10.5	1.5	
832	5	1000	2000	10.0	12.5	1.52	
833	1	0	300	14.0	10.5	1.5	
833	2	300	500	14.0	10.5	1.5	
833	3	500	900	23.5	19.0	1.48	
833	4	900	1600	10.0	12.5	1.52	
833	5	1600	2000	4.0	8.0	1.54	
834	1	0	100	23.5	19.0	1.25	
834	2	100	450	20.0	8.0	1.47	
834	3	450	1100	40.0	20.0	1.61	
