date,Qsim
1971-01-01,3.569908579707175
1971-01-02,3.4416784309749437
1971-01-03,3.3247725137174804
1971-01-04,3.217908911787571
1971-01-05,3.1199636590248336
1971-01-06,3.0299499735811732
1971-01-07,2.947000407825911
1971-01-08,2.8703514754026997
1971-01-09,2.9520893064831824
1971-01-10,2.8124641057733473
1971-01-11,4.263625296114295
1971-01-12,3.502454648446605
1971-01-13,3.236067179572039
1971-01-14,7.271854710422122
1971-01-15,4.468666105498781
1971-01-16,6.696073258265085
1971-01-17,5.5677020228896765
1971-01-18,4.418243082002011
1971-01-19,5.787901383423893
1971-01-20,12.002276418679665
1971-01-21,9.32173259262047
1971-01-22,8.979559135113847
1971-01-23,15.029047894998293
1971-01-24,11.701314677800134
1971-01-25,10.919376607005255
1971-01-26,11.07354859198545
1971-01-27,11.179476653725613
1971-01-28,10.073209296856824
1971-01-29,8.84425364995053
1971-01-30,8.002962549221676
1971-01-31,7.3787926026378585
1971-02-01,6.830562320848711
1971-02-02,6.345863154141884
1971-02-03,5.916409221273732
1971-02-04,5.53608991715807
1971-02-05,7.372713970630137
1971-02-06,6.995120523556884
1971-02-07,7.029788071983519
1971-02-08,10.717299126347589
1971-02-09,8.793784968418034
1971-02-10,7.588357581001937
1971-02-11,6.978280145999887
1971-02-12,6.49254609426811
1971-02-13,6.273603866492024
1971-02-14,6.035971031496147
1971-02-15,5.617391758298836
1971-02-16,5.280786125728362
1971-02-17,4.979920817877058
1971-02-18,4.713171614785771
1971-02-19,8.627260126343229
1971-02-20,6.453062280813026
1971-02-21,5.895523707219415
1971-02-22,9.951664737317897
1971-02-23,10.381607419888153
1971-02-24,10.378664646403843
1971-02-25,17.899647924491866
1971-02-26,10.746019552230157
1971-02-27,9.472815656480941
1971-02-28,8.65054785560388
1971-03-01,7.933409810399013
1971-03-02,7.306228377012212
1971-03-03,6.7562424442319395
1971-03-04,6.272677449604612
1971-03-05,5.846406587789772
1971-03-06,5.469675203153613
1971-03-07,5.135875539214166
1971-03-08,4.839361833789786
1971-03-09,4.596037052176374
1971-03-10,4.477438982941252
1971-03-11,4.177079537610012
1971-03-12,3.98139629147771
1971-03-13,7.898343081188035
1971-03-14,16.821770737268704
1971-03-15,16.456682342520327
1971-03-16,15.820243983076542
1971-03-17,15.336766962933146
1971-03-18,15.311624891159846
1971-03-19,14.302737571128452
1971-03-20,12.815880309406014
1971-03-21,11.703127793992437
1971-03-22,12.194985653787034
1971-03-23,12.117819591022451
1971-03-24,10.747936038711183
1971-03-25,10.090528213994135
1971-03-26,9.516525550554428
1971-03-27,8.817067795273283
1971-03-28,8.180917502282673
1971-03-29,7.616849418402496
1971-03-30,7.116418387469665
1971-03-31,6.701263952991643
1971-04-01,6.326958815721034
1971-04-02,5.965666879873235
1971-04-03,5.641312145257402
1971-04-04,5.350343584249628
1971-04-05,5.1090866463349505
1971-04-06,4.900583229904833
1971-04-07,4.685750439903778
1971-04-08,4.488524579872947
1971-04-09,4.3096923184760145
1971-04-10,4.147154307274486
1971-04-11,3.999069047421042
1971-04-12,3.863819342895775
1971-04-13,3.7399833301844225
1971-04-14,3.626309482738846
1971-04-15,3.52169500855411
1971-04-16,3.425167150316524
1971-04-17,3.396515975967531
1971-04-18,3.389682263751112
1971-04-19,3.3073916723574457
1971-04-20,3.268167245600362
1971-04-21,3.2445069070971435
1971-04-22,3.1681955952213703
1971-04-23,3.1083574469787734
1971-04-24,6.416418761882729
1971-04-25,8.761712293498228
1971-04-26,6.093528325572464
1971-04-27,5.179933865862313
1971-04-28,4.632885232621164
1971-04-29,4.193340680343705
1971-04-30,3.9991350184294387
1971-05-01,3.825709659862475
1971-05-02,3.6806644257939656
1971-05-03,3.550277316183006
1971-05-04,3.4196064126831884
1971-05-05,3.300112568660722
1971-05-06,3.191116158444536
1971-05-07,3.0914299777228496
1971-05-08,3.000013110395358
1971-05-09,2.9208235445449002
1971-05-10,2.8468005003060988
1971-05-11,2.7743040596472217
1971-05-12,2.707074959078916
1971-05-13,2.6626616256073214
1971-05-14,2.6310037593304423
1971-05-15,2.5956250486643957
1971-05-16,2.5599824197732484
1971-05-17,2.5065501296435984
1971-05-18,2.4708625989144135
1971-05-19,2.4404941864647793
1971-05-20,2.393209053112943
1971-05-21,2.511872195832247
1971-05-22,2.584115480433046
1971-05-23,4.647162212998326
1971-05-24,3.224047099058144
1971-05-25,2.4942752003606548
1971-05-26,7.298093903016388
1971-05-27,3.4506152540806823
1971-05-28,2.822623487518582
1971-05-29,3.744842569261992
1971-05-30,3.2095537607975735
1971-05-31,2.680511611957991
1971-06-01,2.8289852904480863
1971-06-02,2.8842948330140996
1971-06-03,2.626402306641087
1971-06-04,2.586419461623258
1971-06-05,3.2088122531511623
1971-06-06,7.286834945146467
1971-06-07,6.603285986143082
1971-06-08,4.609103930649222
1971-06-09,6.647889067491907
1971-06-10,15.103360894495907
1971-06-11,14.488885231751203
1971-06-12,9.904205577871236
1971-06-13,7.806493660530767
1971-06-14,5.807853094327474
1971-06-15,5.377003947591899
1971-06-16,5.377155578458798
1971-06-17,5.17116946641266
1971-06-18,6.087657856261793
1971-06-19,9.422941784395178
1971-06-20,7.585522306527591
1971-06-21,5.745030924627685
1971-06-22,5.2115733501872965
1971-06-23,4.9338752289489145
1971-06-24,4.623183970032903
1971-06-25,4.34214475738333
1971-06-26,4.319187284332187
1971-06-27,4.475896176095293
1971-06-28,6.398747040818008
1971-06-29,8.449034598929133
1971-06-30,10.282975320979943
1971-07-01,6.495276978255332
1971-07-02,5.596173875644962
1971-07-03,5.493525385348644
1971-07-04,4.953775052542178
1971-07-05,4.642899531490595
1971-07-06,4.365225785687261
1971-07-07,4.1169667649744
1971-07-08,3.8945631408495003
1971-07-09,3.6949185327917182
1971-07-10,3.5153349205466093
1971-07-11,3.3534577681994815
1971-07-12,3.2072292799318114
1971-07-13,3.074848485616005
1971-07-14,2.955456607150341
1971-07-15,2.84679715288617
1971-07-16,2.747119573088144
1971-07-17,2.656043585968655
1971-07-18,2.5726353087111895
1971-07-19,2.4960623713087533
1971-07-20,2.42559021561178
1971-07-21,2.3605699333934136
1971-07-22,2.3004277054455273
1971-07-23,2.2446556177764236
1971-07-24,2.192861765098499
1971-07-25,2.1445970336002635
1971-07-26,2.0994228245220357
1971-07-27,2.05710096957715
1971-07-28,2.05048105662496
1971-07-29,2.1797429344790413
1971-07-30,1.9850491453631898
1971-07-31,1.9479710897788263
1971-08-01,1.9130097369352892
1971-08-02,1.8799548283354388
1971-08-03,1.8486289456019611
1971-08-04,1.8188736743105958
1971-08-05,1.790547448622822
1971-08-06,1.7635236519611703
1971-08-07,1.7376969661255657
1971-08-08,1.7187506134270667
1971-08-09,1.703762270804031
1971-08-10,1.6803363098647808
1971-08-11,1.657179531721807
1971-08-12,1.634912229887572
1971-08-13,1.613463217008948
1971-08-14,1.7243886893871032
1971-08-15,1.7140980769418082
1971-08-16,1.6061686024031634
1971-08-17,1.5829298737241484
1971-08-18,1.5606928042490822
1971-08-19,1.5393719347933381
1971-08-20,1.5188907631454966
1971-08-21,9.638165366349915
1971-08-22,9.825061350186429
1971-08-23,9.013064564489044
1971-08-24,3.3840797434455983
1971-08-25,2.112690077137137
1971-08-26,2.0660463025453812
1971-08-27,4.026857091739316
1971-08-28,2.6820483945824396
1971-08-29,2.0716734381197317
1971-08-30,2.002229304588762
1971-08-31,1.9441353694474233
1971-09-01,1.8818447340709816
1971-09-02,1.822163124618478
1971-09-03,1.7674530861273103
1971-09-04,1.7172235091882797
1971-09-05,1.6709990700126223
1971-09-06,1.628358830033737
1971-09-07,1.5889296879558659
1971-09-08,1.5523806595370624
1971-09-09,7.749035157062789
1971-09-10,8.813866049427464
1971-09-11,3.164723608707386
1971-09-12,2.252112356358276
1971-09-13,2.0334581865385175
1971-09-14,1.8673826573400223
