date,SMI,RCI,QDI,MDI
2005-04-14,32.421875,52.734375,52.734375,45.963543
2005-04-15,31.640625,45.703125,48.828125,42.057293
2005-04-16,31.640625,40.234375,42.578125,38.151043
2005-04-17,32.421875,38.671875,49.609375,40.234375
2005-04-18,33.984375,37.890625,37.109375,36.328125
2005-04-19,33.984375,37.109375,37.109375,36.067707
2005-04-20,33.203125,36.328125,37.890625,35.807293
2005-04-21,33.984375,35.546875,37.890625,35.807293
2005-04-22,33.984375,33.984375,36.328125,34.765625
2005-04-23,32.421875,32.421875,35.546875,33.463543
2005-04-24,30.078125,30.859375,33.203125,31.380209
2005-04-25,33.203125,37.890625,98.046875,56.380207
2005-04-26,34.765625,45.703125,41.796875,40.755207
2005-04-27,34.765625,44.140625,76.171875,51.692707
2005-04-28,31.640625,42.578125,42.578125,38.932293
2005-04-29,30.078125,40.234375,41.015625,37.109375
2005-04-30,29.296875,37.109375,37.890625,34.765625
2005-05-01,27.734375,34.765625,36.328125,32.942707
2005-05-02,26.171875,30.859375,36.328125,31.119791
2005-05-03,26.953125,33.984375,88.671875,49.869793
2005-05-04,30.078125,63.671875,99.609375,64.453125
2005-05-05,44.140625,72.265625,84.765625,67.05729
2005-05-06,55.859375,75.390625,94.921875,75.390625
2005-05-07,67.578125,84.765625,95.703125,82.68229
2005-05-08,74.609375,91.015625,78.515625,81.38021
2005-05-09,73.828125,89.453125,69.921875,77.734375
2005-05-10,69.921875,82.421875,72.265625,74.86979
2005-05-11,68.359375,80.859375,68.359375,72.52604
2005-05-12,69.140625,80.078125,66.015625,71.74479
2005-05-13,57.421875,76.953125,67.578125,67.31771
2005-05-14,58.984375,78.515625,88.671875,75.390625
2005-05-15,66.015625,81.640625,73.828125,73.828125
2005-05-16,72.265625,87.109375,90.234375,83.203125
2005-05-17,76.953125,91.015625,78.515625,82.16146
2005-05-18,76.171875,87.890625,69.921875,77.99479
2005-05-19,71.484375,81.640625,69.140625,74.08854
2005-05-20,56.640625,77.734375,62.890625,65.75521
2005-05-21,57.421875,73.828125,62.109375,64.453125
2005-05-22,55.078125,66.015625,60.546875,60.546875
2005-05-23,58.203125,73.046875,88.671875,73.30729
2005-05-24,60.546875,74.609375,62.109375,65.75521
2005-05-25,56.640625,62.890625,55.859375,58.463543
2005-05-26,51.953125,58.203125,50.390625,53.515625
2005-05-27,47.265625,53.515625,48.046875,49.609375
2005-05-28,44.140625,51.171875,44.921875,46.744793
2005-05-29,37.890625,47.265625,42.578125,42.578125
2005-05-30,37.109375,46.484375,61.328125,48.307293
2005-05-31,37.109375,44.140625,41.015625,40.755207
2005-06-01,33.984375,39.453125,38.671875,37.369793
2005-06-02,31.640625,33.984375,34.765625,33.463543
2005-06-03,28.515625,28.515625,32.421875,29.817709
2005-06-04,27.734375,22.265625,30.078125,26.692709
2005-06-05,26.171875,19.921875,42.578125,29.557291
2005-06-06,33.203125,31.640625,89.453125,51.432293
2005-06-07,44.921875,41.015625,84.765625,56.901043
2005-06-08,49.609375,44.921875,36.328125,43.619793
2005-06-09,48.046875,41.796875,34.765625,41.536457
2005-06-10,57.421875,51.953125,90.234375,66.53646
2005-06-11,63.671875,55.859375,49.609375,56.380207
2005-06-12,58.984375,51.171875,46.484375,52.213543
2005-06-13,52.734375,44.921875,41.796875,46.484375
2005-06-14,59.765625,58.984375,94.921875,71.22396
2005-06-15,62.109375,70.703125,54.296875,62.369793
2005-06-16,55.859375,65.234375,47.265625,56.119793
2005-06-17,54.296875,61.328125,69.140625,61.588543
2005-06-18,50.390625,54.296875,41.015625,48.567707
2005-06-19,44.921875,50.390625,34.765625,43.359375
2005-06-20,41.015625,44.140625,30.859375,38.671875
2005-06-21,44.140625,51.953125,89.453125,61.848957
2005-06-22,48.046875,52.734375,43.359375,48.046875
2005-06-23,41.796875,49.609375,38.671875,43.359375
2005-06-24,39.453125,45.703125,34.765625,39.973957
2005-06-25,47.265625,55.078125,94.921875,65.75521
2005-06-26,55.078125,65.234375,49.609375,56.640625
2005-06-27,51.171875,62.109375,47.265625,53.515625
2005-06-28,45.703125,56.640625,44.140625,48.828125
2005-06-29,44.921875,50.390625,41.015625,45.442707
2005-06-30,52.734375,63.671875,94.921875,70.44271
2005-07-01,69.140625,77.734375,93.359375,80.078125
2005-07-02,71.484375,83.984375,66.796875,74.08854
2005-07-03,67.578125,75.390625,60.546875,67.83854
2005-07-04,66.015625,73.828125,80.859375,73.56771
2005-07-05,72.265625,77.734375,95.703125,81.90104
2005-07-06,76.953125,81.640625,58.984375,72.52604
2005-07-07,73.828125,79.296875,62.109375,71.74479
2005-07-08,74.609375,78.515625,74.609375,75.91146
2005-07-09,71.484375,74.609375,54.296875,66.796875
2005-07-10,68.359375,73.046875,52.734375,64.71354
2005-07-11,67.578125,73.046875,50.390625,63.671875
2005-07-12,59.765625,70.703125,47.265625,59.244793
2005-07-13,58.984375,69.921875,49.609375,59.505207
2005-07-14,58.203125,69.921875,48.046875,58.723957
2005-07-15,58.203125,69.921875,48.828125,58.984375
2005-07-16,57.421875,69.140625,48.046875,58.203125
2005-07-17,55.078125,65.234375,45.703125,55.338543
2005-07-18,51.953125,62.109375,45.703125,53.255207
2005-07-19,58.984375,66.796875,90.234375,72.00521
2005-07-20,62.890625,71.484375,87.890625,74.08854
2005-07-21,72.265625,72.265625,94.921875,79.81771
2005-07-22,76.953125,77.734375,64.453125,73.046875
2005-07-23,75.390625,76.171875,60.546875,70.703125
2005-07-24,73.828125,72.265625,55.859375,67.31771
2005-07-25,69.140625,69.921875,55.859375,64.97396
2005-07-26,65.234375,66.015625,54.296875,61.848957
2005-07-27,61.328125,61.328125,50.390625,57.682293
2005-07-28,58.984375,55.859375,48.828125,54.557293
2005-07-29,66.796875,72.265625,98.046875,79.03646
2005-07-30,74.609375,80.078125,72.265625,75.65104
2005-07-31,71.484375,77.734375,59.765625,69.66146
2005-08-01,68.359375,75.390625,58.203125,67.31771
2005-08-02,69.140625,76.171875,83.984375,76.43229
2005-08-03,73.828125,83.984375,94.921875,84.24479
2005-08-04,74.609375,83.984375,68.359375,75.65104
2005-08-05,76.953125,83.984375,87.109375,82.68229
2005-08-06,78.515625,84.765625,80.078125,81.11979
2005-08-07,80.859375,87.109375,86.328125,84.765625
2005-08-08,80.078125,87.890625,72.265625,80.078125
2005-08-09,76.953125,85.546875,62.890625,75.13021
2005-08-10,73.046875,79.296875,58.203125,70.18229
2005-08-11,70.703125,73.828125,55.078125,66.53646
2005-08-12,72.265625,80.859375,92.578125,81.90104
2005-08-13,76.953125,87.109375,73.046875,79.03646
2005-08-14,77.734375,84.765625,71.484375,77.99479
2005-08-15,79.296875,83.203125,66.015625,76.171875
2005-08-16,76.171875,82.421875,60.546875,73.046875
2005-08-17,76.953125,77.734375,58.203125,70.96354
2005-08-18,73.828125,76.171875,53.515625,67.83854
2005-08-19,70.703125,69.921875,51.953125,64.19271
2005-08-20,71.484375,70.703125,83.984375,75.390625
2005-08-21,73.828125,72.265625,51.953125,66.015625
2005-08-22,79.296875,83.984375,98.828125,87.36979
2005-08-23,91.015625,98.046875,99.609375,96.22396
2005-08-24,93.359375,99.609375,94.140625,95.703125
2005-08-25,92.578125,98.828125,90.234375,93.88021
2005-08-26,91.796875,97.265625,83.984375,91.015625
2005-08-27,91.015625,94.921875,84.765625,90.234375
2005-08-28,91.015625,92.578125,80.859375,88.15104
2005-08-29,91.015625,91.796875,76.171875,86.328125
2005-08-30,91.015625,91.015625,78.515625,86.84896
2005-08-31,91.015625,91.015625,74.609375,85.546875
2005-09-01,89.453125,89.453125,73.046875,83.984375
2005-09-02,87.109375,87.890625,73.046875,82.68229
2005-09-03,85.546875,85.546875,69.140625,80.078125
2005-09-04,82.421875,81.640625,67.578125,77.21354
2005-09-05,78.515625,75.390625,66.796875,73.56771
2005-09-06,75.390625,74.609375,65.234375,71.74479
2005-09-07,72.265625,73.046875,65.234375,70.18229
2005-09-08,70.703125,68.359375,66.015625,68.359375
2005-09-09,67.578125,62.890625,64.453125,64.97396
2005-09-10,64.453125,58.203125,62.109375,61.588543
2005-09-11,78.515625,91.015625,99.609375,89.71354
2005-09-12,91.015625,98.828125,95.703125,95.18229
2005-09-13,92.578125,98.828125,88.671875,93.359375
2005-09-14,90.234375,95.703125,83.203125,89.71354
2005-09-15,89.453125,95.703125,94.921875,93.359375
2005-09-16,91.796875,98.828125,97.265625,95.96354
2005-09-17,94.921875,99.609375,91.015625,95.18229
2005-09-18,94.140625,98.046875,88.671875,93.61979
2005-09-19,92.578125,97.265625,84.765625,91.53646
