date,precip,pet,sm_l01,sm_l02,sm_lall,recharge,runoff,qsim,qobs
2005-01-01,5.57026698537257,0.22128013576332559,0.9818099371265248,0.9958999106091038,0.9405104139660603,0.5607302409518117,1.591345854716423,10.275618451036554,15.2
2005-01-02,1.119673673665233,0.3270381992366202,0.9824377432841942,0.9960955252730441,0.9414736632480742,0.592291595083763,1.1806333175819819,7.466174808629216,14.7
2005-01-03,3.8499008455854287,0.23034033887918373,0.9826753988321224,0.996236500973236,0.9422234080216593,0.6028714969950449,1.5052037706692372,9.093337112642358,13.2
2005-01-04,0.884270161104169,0.25652246662033085,0.983489767591648,0.9964105478443598,0.9430464314491999,0.6109648012815767,1.2054496159245887,7.450931957065336,12.7
2005-01-05,3.128339839092896,0.20230018606959158,0.9840532063115185,0.9965369246429715,0.9436754060523502,0.6115093661560598,1.4481601406256794,8.588128813534686,11.4
2005-01-06,1.6319112252629653,0.2854046734720259,0.9847373313640192,0.9966742331794863,0.9443621723885104,0.6231126471193318,1.2786560726416139,7.58715648056959,11.4
2005-01-07,0.7665265871869296,0.3597093181878024,0.984295113384403,0.9966665580892529,0.9444832441641902,0.6096495058000171,1.1924606400065045,7.024236237768499,10.1
2005-01-08,0.6672616173287879,0.49517681505822436,0.9833286133562209,0.9966149609952448,0.944441499848241,0.5817928853673308,1.1056086542407573,6.4676512114996285,9.36
2005-01-09,0.11587702343164331,0.34245845547752113,0.9823596260859722,0.9965620163400338,0.9443495944840741,0.5477393680701185,1.0102685947243404,6.012338967960118,8.98
2005-01-10,0.0,0.4566313210555858,0.97985416635007,0.9963830504523021,0.943941943628592,0.5073731522903318,0.9314148006935804,5.5220478391552374,7.92
2005-01-11,0.0,0.3330247268156327,0.9771008837312336,0.9961830361451746,0.9434872275705355,0.4690548737919104,0.8690909091601702,5.155781315218479,7.26
2005-01-12,2.864296331618308,0.3621527358648756,0.9766430529597803,0.996203512428902,0.9437988532624006,0.4691259474941963,1.119625382837804,6.678486757658892,6.95
2005-01-13,1.2301291956656097,0.30108811800207547,0.977611881703653,0.9963494364070351,0.944486031119085,0.483411252208903,0.9900259250521853,6.222114669071172,7.59
2005-01-14,0.007691712402716379,0.231234686706484,0.9774577817081368,0.9963628016545213,0.9446004415203226,0.46157315160656137,0.861186675565295,5.2447722482696255,6.64
2005-01-15,0.0,0.3153838653424685,0.9759475464452174,0.9962568777229777,0.9443527521112957,0.4272450666843723,0.8126131692484153,4.844386360442271,6.06
2005-01-16,0.0,0.3830449149971637,0.9734806202506391,0.9960771695945039,0.9439447055764368,0.39568058243551063,0.7692895975478148,4.587638288969213,5.78
2005-01-17,0.06229646653454985,0.39287187191697226,0.9706878318540045,0.9958714593777402,0.9434852951225623,0.36768000818008534,0.7317435015056277,4.360146330722608,5.51
2005-01-18,2.981334200408908,0.3100137766426244,0.9703712336203946,0.9959105323444957,0.9438944085920392,0.3746462222156801,1.0341798458777933,6.139804585916425,5.51
2005-01-19,0.2800535109835776,0.2912817540564218,0.9713807157363065,0.9960518698746136,0.9445391436122181,0.38103588966400226,0.7931793413000032,5.019129931412729,6.64
2005-01-20,25.634384765991786,0.40160285783580657,0.9789131917756222,0.996994536970799,0.9492799106290474,0.6709677463310123,4.066201803453221,24.33935687327663,10.5
2005-01-21,1.7461835826478889,0.3283611404212658,0.9848747689389168,0.9977656804069445,0.9535780412136037,0.9133631917304406,2.1992850110706192,15.84800972055492,32.8
2005-01-22,1.8499226491643126,0.24449932232701052,0.9854781178500276,0.9978541446069137,0.954142664171149,0.8657842735915819,2.160986189419872,13.61510747297375,17.6
2005-01-23,0.0,0.24519073945037448,0.9858320213266569,0.9979045949797991,0.9544796760416533,0.8062893974991987,1.6624609036015074,10.349611692651665,14.2
2005-01-24,0.0,0.2038883043265408,0.9857826023047843,0.9979031030705954,0.9544724251484981,0.7373081468483496,1.4491964151160543,8.867923307901032,12.7
2005-01-25,0.0,0.18432163243094876,0.9857420994307984,0.9979018803306832,0.9544664824567849,0.6767082693211938,1.306513762891378,7.918870852948522,11.4
2005-01-26,0.0,0.18255849833911397,0.9856888911429379,0.9978996910084492,0.9544583095428263,0.6224258544208726,1.1988086314436874,7.269977921660371,10.1
2005-01-27,0.0,0.19557926019623453,0.9856253577569979,0.997896855805891,0.9544484073931943,0.5733420902019316,1.111852181453316,6.754623725485485,9.36
2005-01-28,0.0,0.22519715997485623,0.9855746502972524,0.9978950829283422,0.9544408360099129,0.5286860592407884,1.037942659354017,6.311683873319617,8.98
2005-01-29,0.0,0.22656246714876632,0.9854228724137452,0.9978865867518226,0.9544168187922162,0.4879618282484023,0.9726681115916281,5.917313486064265,8.26
2005-01-30,0.0,0.2844625075336543,0.9852079816697958,0.997874352053018,0.9543827841095524,0.4507631087951423,0.9147326611650354,5.564790492402699,7.59
2005-01-31,3.1384837509009507,0.33548506154210006,0.9857233839381132,0.9979609814655995,0.9549341492976456,0.4466378403669035,1.3444085119840476,8.038692813735464,8.26
2005-02-01,0.59145581784014,0.3196439158913048,0.9861651677457905,0.9980482731941731,0.9555815985361514,0.44814329052198,1.1128931166818294,6.5764488615870755,11.4
2005-02-02,6.598007885147251,0.31833357886210817,0.9870192559290352,0.9981831662589805,0.9566939899496867,0.48746295334977296,1.9707255291704124,12.494454357976556,9.36
2005-02-03,1.526912736490774,0.36731221448740803,0.9883468483001707,0.9983659131545861,0.9580732870582306,0.5354720852892977,1.4518792571374115,9.001870718097708,26.9
2005-02-04,0.0,0.4083980044006072,0.9874447647655183,0.9983181901888825,0.958137894694771,0.5069716084079885,1.1733105065692078,6.939289935305169,17.6
2005-02-05,0.0,0.41467771713034474,0.9845706402470215,0.9981090540135674,0.9576623995418376,0.4646922242684233,1.0787778811083288,6.357384053985012,12.7
2005-02-06,0.0,0.390533492117357,0.981615173699639,0.997893249676627,0.9571731452019628,0.42665230365135903,0.99825259893705,5.914942988010094,10.1
2005-02-07,0.0,0.3684091792316286,0.9788325362532106,0.9976900026146935,0.9567123779172632,0.3923142216431588,0.9289501533930643,5.527059087891877,8.62
2005-02-08,0.0,0.4064005624182215,0.9760907477464131,0.997490166878324,0.9562586510817302,0.3612288944100199,0.8688367258132549,5.185338017306295,7.59
2005-02-09,0.02918781727333189,0.5992207603872106,0.9725467375611861,0.9972307658320649,0.9556753228122165,0.333291936577751,0.8167559089731129,4.886015442835909,7.26
2005-02-10,23.186476360915893,0.4742771465197434,0.9774207675181013,0.9977110956586938,0.9591848685523929,0.5751512256382003,4.072578081872969,25.77812736003902,8.98
2005-02-11,24.30547959880195,0.36516831638947567,0.9874453314241467,0.9986649230779278,0.9658171060776299,1.0799130029006878,5.942766855060975,37.439750872113024,48.9
2005-02-12,25.438808675695856,0.7123539375436224,0.9932014015927988,0.9992530442889326,0.9712969514969896,1.5873528958023846,8.11508769296967,50.29371132645841,75.3
2005-02-13,5.2364632507409965,0.5100583609975105,0.9949841731404427,0.9994596274086006,0.9738675968675465,1.738864495835837,6.523815866012729,41.933793250507684,88.7
2005-02-14,0.0,0.3831061653074709,0.9951100194346347,0.9994853647214547,0.9743024605142204,1.572767924510254,5.134517385474205,32.204827278709594,48.1
2005-02-15,0.0,0.3784991396449563,0.9949943608072994,0.9994814519633328,0.9742853354880197,1.3763025577389523,4.145003781630527,25.995363034824127,33.5
2005-02-16,0.0,0.21082350175239892,0.9949149498367913,0.9994788444866347,0.9742736066142401,1.21619637032013,3.3665536394923783,21.216477605535278,26.9
2005-02-17,0.0,0.3528159979303859,0.9948395701672659,0.9994763938695895,0.9742624821871663,1.0851114504937667,2.7518313972635156,17.39559434571273,22.1
2005-02-18,0.0,0.3331151493714095,0.9944783784440729,0.9994541588280678,0.9742046570485373,0.9770462588050024,2.279660317225036,14.378589297077207,19.2
2005-02-19,0.0,0.4340424074776591,0.9934859133276492,0.9993875669316362,0.9740431086152113,0.8867764049893068,1.9253168439387145,12.077261237740712,17.4
2005-02-20,0.0013210753094204063,0.5004193751989423,0.9923946928261964,0.9993161739781116,0.9738658671050202,0.8102864727105606,1.6620696684784573,10.312232979814361,14.7
2005-02-21,0.0,0.4416374743856995,0.9917798967857631,0.9992786873479165,0.9737664695562616,0.7438733983498719,1.4882951797554693,9.112730492055263,13.7
2005-02-22,0.0,0.31287639331298084,0.9915429179774596,0.9992667146040661,0.9737289142317433,0.6844959354687459,1.3771811707757935,8.388376607462812,12.3
2005-02-23,0.0,0.4719028303294369,0.9901799530989285,0.9991714793327036,0.9735051255273851,0.6305443132046468,1.2868071561795085,7.8295207713174655,11.0
2005-02-24,0.0,0.5415165002307228,0.9867591708806552,0.9989230617945013,0.9729394767737949,0.5813828130578984,1.2067943979709417,7.33477449702044,10.1
2005-02-25,0.0,0.5245383715588829,0.9839110768211443,0.9987147260032826,0.972468637586937,0.5365171970221133,1.1356413217980823,6.893576256679402,9.36
2005-02-26,0.0,0.5155498920013415,0.9826971990301423,0.9986294386619122,0.9722699884499116,0.4955146518817487,1.0721104107460468,6.4988683122851185,8.62
2005-02-27,0.0,0.35767218311503435,0.9825198445118445,0.9986230455397154,0.9722435449987431,0.45799437219209005,1.0151728901107409,6.144678244022512,12.3
2005-02-28,0.0,0.2711128657244314,0.9823297729606725,0.9986142420487925,0.9722141273817066,0.42361991704625496,0.96396685085931,5.825925757490008,7.26
2005-03-01,0.0,0.41487306329004947,0.9810353452943229,0.9985258319645243,0.9720021471675295,0.39209294163129693,0.9177651258189964,5.538268791220474,6.95
2005-03-02,0.0,0.5720011162847656,0.977682077691115,0.9982841394896438,0.9714482832072445,0.36314800804367586,0.8759503494717416,5.277979924377763,6.64
2005-03-03,0.0,0.6867594376713302,0.9732149919190956,0.9979579666993194,0.9707089538588839,0.33654825327248433,0.8379953812594642,5.041846385589581,6.35
2005-03-04,0.0,0.5636978565027895,0.9689254027508196,0.9976493510210268,0.9700003869437799,0.31208174521555326,0.8034477835932781,4.827088599591566,6.06
2005-03-05,0.0,0.5930145061169397,0.9667851493933709,0.9975037001369548,0.9696499273678093,0.28955839634083164,0.7719174004477803,4.631293409269738,6.06
2005-03-06,0.0,0.38936910281664394,0.966461751687975,0.997487971988502,0.9695995963920734,0.26880733333875145,0.743066332152335,4.452359001176684,5.78
2005-03-07,0.0,0.6324198009639785,0.965976121766545,0.9974608692552878,0.9695219222312955,0.24967464268464962,0.7166007802473235,4.288449229098911,5.51
2005-03-08,2.4439341157250523,0.5744177810887482,0.9663398390562307,0.997487474031327,0.9697605259548367,0.2598915232640166,0.961724282523059,6.0070881046261055,5.51
2005-03-09,1.1877878258200574,0.6862291113294687,0.9677278288937947,0.9975766578514904,0.970269628361191,0.2822539755257133,0.9342141339199876,5.930421764779374,5.78
2005-03-10,0.0,0.6775651901807668,0.9663445873518477,0.9974749786262217,0.9701376711112294,0.27397265466961057,0.7743199790912307,4.670006806842936,5.51
2005-03-11,0.8130274545688957,0.8504056676531244,0.9642603883713466,0.9973243333392979,0.9698536699819595,0.26189682742365317,0.8299390076116091,5.002242533843044,5.25
2005-03-12,1.601940699567068,0.5954420448803157,0.965006091977348,0.9973757056489957,0.9701567047108569,0.2687601001786134,0.9223708816128965,5.572111689731133,6.06
2005-03-13,1.1974570527523842,0.7079231451164296,0.9653144060384015,0.9973991585232623,0.9704157587017623,0.28042435955190975,0.9016397380733742,5.452744124022444,5.78
