date,matrix_drought_index,matrix_class,sm_norm,recharge_norm,discharge_norm
1990-01-01,,unknown,0.02083333333333333,,
1990-02-01,,unknown,0.10416666666666669,0.2708333333333333,
1990-03-01,,unknown,0.45833333333333326,0.5833333333333334,
1990-04-01,,unknown,0.375,0.6875,
1990-05-01,,unknown,0.16666666666666663,0.375,
1990-06-01,,unknown,0.1875,0.10416666666666669,
1990-07-01,,unknown,0.20833333333333337,0.3125,
1990-08-01,,unknown,0.04166666666666666,0.5,
1990-09-01,,unknown,0.08333333333333331,0.02083333333333333,
1990-10-01,,unknown,0.2916666666666667,0.125,
1990-11-01,,unknown,0.6041666666666666,0.5625,
1990-12-01,,unknown,0.75,0.8958333333333335,
1991-01-01,,unknown,1.0,0.75,
1991-02-01,,unknown,0.9375,0.9791666666666665,
1991-03-01,,unknown,0.875,0.47916666666666674,
1991-04-01,,unknown,0.6666666666666665,0.7291666666666665,
1991-05-01,,unknown,0.5416666666666666,0.25,
1991-06-01,,unknown,0.4375,0.33333333333333326,
1991-07-01,,unknown,0.2708333333333333,0.1875,
1991-08-01,,unknown,0.125,0.14583333333333334,
1991-09-01,,unknown,0.0625,0.04166666666666666,
1991-10-01,,unknown,0.35416666666666674,0.08333333333333331,
1991-11-01,,unknown,0.5833333333333334,0.6041666666666666,
1991-12-01,,unknown,0.7083333333333335,0.875,
1992-01-01,,unknown,0.7916666666666665,0.8333333333333335,
1992-02-01,,unknown,0.8333333333333335,0.7083333333333335,
1992-03-01,,unknown,0.8125,0.7916666666666665,
1992-04-01,,unknown,0.7708333333333335,0.8125,
1992-05-01,,unknown,0.5625,0.7708333333333335,
1992-06-01,,unknown,0.5,0.5208333333333334,
1992-07-01,,unknown,0.41666666666666674,0.4375,
1992-08-01,,unknown,0.14583333333333334,0.39583333333333326,
1992-09-01,,unknown,0.22916666666666663,0.0625,
1992-10-01,,unknown,0.3125,0.16666666666666663,
1992-11-01,,unknown,0.6458333333333335,0.5416666666666666,
1992-12-01,,unknown,0.9166666666666665,0.9583333333333335,
1993-01-01,,unknown,0.9583333333333335,0.9375,
1993-02-01,,unknown,0.9791666666666665,0.8541666666666665,
1993-03-01,,unknown,0.8541666666666665,0.6458333333333335,
1993-04-01,,unknown,0.6875,0.41666666666666674,
1993-05-01,,unknown,0.5208333333333334,0.45833333333333326,
1993-06-01,,unknown,0.47916666666666674,0.20833333333333337,
1993-07-01,,unknown,0.33333333333333326,0.2916666666666667,
1993-08-01,,unknown,0.25,0.35416666666666674,
1993-09-01,,unknown,0.39583333333333326,0.22916666666666663,
1993-10-01,,unknown,0.625,0.6666666666666665,
1993-11-01,,unknown,0.7291666666666665,0.9166666666666665,
1993-12-01,,unknown,0.8958333333333335,0.625,
