date,matrix_drought_index,matrix_class,sm_norm,recharge_norm,discharge_norm
1990-01-31,,unknown,0.4005376344086022,,
1990-02-28,,unknown,0.4086021505376344,0.2661290322580645,
1990-03-31,0.2978494623655914,severe_drought,0.46236559139784944,0.27956989247311825,0.0967741935483871
1990-04-30,0.41559139784946236,moderate_drought,0.3897849462365591,0.6129032258064516,0.25268817204301075
1990-05-31,0.30806451612903224,severe_drought,0.20161290322580644,0.41935483870967744,0.3387096774193548
1990-06-30,0.26182795698924727,severe_drought,0.1586021505376344,0.2768817204301075,0.3844086021505376
1990-07-31,0.18333333333333332,extreme_drought,0.09946236559139784,0.3763440860215054,0.1021505376344086
1990-08-31,0.26263440860215054,severe_drought,0.02956989247311828,0.3521505376344086,0.4838709677419355
1990-09-30,0.10833333333333334,extreme_drought,0.1075268817204301,0.03763440860215054,0.18010752688172044
1990-10-31,0.26344086021505375,severe_drought,0.13440860215053763,0.6209677419354839,0.07795698924731183
1990-11-30,0.3720430107526882,severe_drought,0.260752688172043,0.2849462365591398,0.6075268817204301
1990-12-31,0.3881720430107527,severe_drought,0.4543010752688172,0.49731182795698925,0.19086021505376344
1991-01-31,0.5419354838709678,moderate_drought,0.6290322580645161,0.5349462365591398,0.4327956989247312
1991-02-28,0.6091397849462366,mild_drought,0.6155913978494624,0.760752688172043,0.4489247311827957
1991-03-31,0.4317204301075269,moderate_drought,0.5268817204301075,0.11827956989247312,0.6182795698924731
1991-04-30,0.24919354838709676,severe_drought,0.3870967741935484,0.1935483870967742,0.12096774193548387
1991-05-31,0.1938172043010753,extreme_drought,0.3413978494623656,0.10483870967741936,0.08602150537634409
1991-06-30,0.18333333333333335,extreme_drought,0.23655913978494625,0.239247311827957,0.0564516129032258
1991-07-31,0.2053763440860215,severe_drought,0.15053763440860216,0.34408602150537637,0.13978494623655913
1991-08-31,0.28413978494623654,severe_drought,0.07526881720430108,0.4327956989247312,0.41397849462365593
1991-09-30,0.18091397849462365,extreme_drought,0.03494623655913978,0.3118279569892473,0.24462365591397847
1991-10-31,0.06639784946236559,extreme_drought,0.026881720430107524,0.016129032258064516,0.1693548387096774
1991-11-30,0.03064516129032258,extreme_drought,0.06451612903225806,0.008064516129032258,0.008064516129032258
1991-12-31,0.12150537634408601,extreme_drought,0.16666666666666663,0.1774193548387097,0.005376344086021506
1992-01-31,0.4120967741935484,moderate_drought,0.5080645161290323,0.5806451612903226,0.11559139784946236
1992-02-29,0.6803763440860215,mild_drought,0.6182795698924731,0.8897849462365592,0.553763440860215
1992-03-31,0.7338709677419354,mild_drought,0.6774193548387096,0.7473118279569892,0.7956989247311828
1992-04-30,0.7120967741935484,mild_drought,0.6451612903225806,0.8467741935483872,0.6666666666666665
1992-05-31,0.5717741935483871,moderate_drought,0.3467741935483871,0.6397849462365591,0.803763440860215
1992-06-30,0.2946236559139785,severe_drought,0.1962365591397849,0.1881720430107527,0.532258064516129
1992-07-31,0.22016129032258067,severe_drought,0.24193548387096775,0.25268817204301075,0.1586021505376344
1992-08-31,0.3717741935483871,severe_drought,0.0967741935483871,0.739247311827957,0.3709677419354838
1992-09-30,0.3650537634408602,severe_drought,0.11021505376344086,0.33064516129032256,0.739247311827957
1992-10-31,0.21774193548387097,severe_drought,0.08870967741935484,0.24193548387096775,0.3655913978494624
1992-11-30,0.17903225806451611,extreme_drought,0.25806451612903225,0.07526881720430108,0.1774193548387097
1992-12-31,0.3370967741935484,severe_drought,0.43548387096774194,0.43817204301075274,0.10483870967741936
1993-01-31,0.46236559139784944,moderate_drought,0.5510752688172043,0.5,0.3064516129032258
1993-02-28,0.553494623655914,moderate_drought,0.6317204301075269,0.6344086021505376,0.3682795698924731
1993-03-31,0.521236559139785,moderate_drought,0.6801075268817204,0.3655913978494624,0.4650537634408602
1993-04-30,0.5620967741935483,moderate_drought,0.5887096774193549,0.7419354838709676,0.3467741935483871
1993-05-31,0.45134408602150544,moderate_drought,0.26344086021505375,0.5698924731182796,0.5833333333333334
1993-06-30,0.30483870967741933,severe_drought,0.2903225806451613,0.1827956989247312,0.44623655913978494
1993-07-31,0.3268817204301075,severe_drought,0.29301075268817206,0.5053763440860215,0.1935483870967742
1993-08-31,0.4271505376344086,moderate_drought,0.20698924731182797,0.6424731182795699,0.5053763440860215
