date,sm,recharge,runoff,smi_percent,ssi,recharge_percent,runoff_percent,qsim_monthly_mean,discharge_percent,drought_class
1990-01-01,0.4232685589071089,5.031525357761062,27.5222525616916,2.083333333333333,-2.0368341317013883,27.083333333333332,66.66666666666666,116.0603754756833,62.5,normal_or_wet
1990-02-01,0.640050083693914,10.079054076865692,30.691001089715115,10.416666666666668,-1.2581615610630963,58.333333333333336,72.91666666666666,141.04646460260966,72.91666666666666,normal_or_wet
1990-03-01,0.7599962151631905,12.750145768023906,29.15625347694542,45.83333333333333,-0.10463345561407554,68.75,68.75,140.57366484650063,70.83333333333334,normal_or_wet
1990-04-01,0.7364657778067103,6.038711244174324,17.732905692567197,37.5,-0.31863936396437514,37.5,39.58333333333333,80.0685006747595,45.83333333333333,normal_or_wet
1990-05-01,0.6810493029590252,2.9444667849025694,13.450351510425438,16.666666666666664,-0.967421566101701,10.416666666666668,20.833333333333336,59.05438285813487,25.0,moderate_drought
1990-06-01,0.6836070127160013,5.766481253012962,15.024830771634688,18.75,-0.887146559018876,31.25,27.083333333333332,65.92828218155317,29.166666666666668,normal_or_wet
1990-07-01,0.6907476246384405,7.8821234872970045,15.519940793425462,20.833333333333336,-0.8122178014999129,50.0,31.25,70.48026563483168,35.41666666666667,normal_or_wet
1990-08-01,0.597835086875482,1.4895900752506692,10.10092804568929,4.166666666666666,-1.731664396122245,2.083333333333333,6.25,41.926831483484044,6.25,extreme_drought
1990-09-01,0.6390283493198456,3.3367950804801874,10.268623854900406,8.333333333333332,-1.382994127100638,12.5,8.333333333333332,46.544591274364684,8.333333333333332,severe_drought
1990-10-01,0.7130652799100305,10.018131613601165,17.502227483979485,29.166666666666668,-0.5485222826980979,56.25,37.5,74.44722188386991,39.58333333333333,normal_or_wet
1990-11-01,0.830892667528616,25.686349095235553,42.18731084057764,60.416666666666664,0.2641469768259235,89.58333333333334,81.25,191.2437607776442,83.33333333333334,normal_or_wet
1990-12-01,0.8815530076925147,18.809972405669182,43.803580386158,75.0,0.6744897501960817,75.0,83.33333333333334,163.1239543911283,75.0,normal_or_wet
1991-01-01,0.9520318011453959,37.85656015227238,92.00765993309312,100.0,4.753424308817087,97.91666666666666,97.91666666666666,429.0727243495037,97.91666666666666,normal_or_wet
