metric,value_2yr,value_5yr,value_10yr,value_20yr,value_50yr,value_100yr
smi_min_gamma,3.9454796611718104,3.229724680683968,3.2258820266965365,3.2258069478444775,3.2258054598487282,3.225805451773826
smi_min_gev,9.137810967507729,4.938652169162788,3.9800376652531355,3.569218656224793,3.3498387106000003,3.2836303314497215
discharge_min_gamma,2.504656752023232,1.519304755887688,1.2649696937779962,1.1450992876856445,1.0739608925692963,1.0498895791734015
discharge_min_gev,3.095376919438224,2.2583877993133354,1.8548427085204666,1.5519076025367837,1.2536242162634004,1.0835536620554653
