date,spi_1,spi_3,spi_6,spi_12,spei_3,smi,qobs,qsim
1991-01-01,-0.5541043590033843,,,,,0.19354838709677402,9.477741935483872,6.364685725806452
1991-02-01,-1.1587374313386205,,,,,-1.3548387096774195,4.631071428571429,3.0769697428571425
1991-03-01,-1.3077712114271958,-2.1301487704331463,,,0.14476693436732774,-1.7419354838709677,4.4793548387096775,2.9122634225806454
1991-04-01,-0.6828351701989008,-2.231453604343983,,,-0.22869753585437222,-1.2258064516129032,4.466333333333334,2.578066993333333
1991-05-01,-0.2740860316960987,-1.6245097533911403,,,-0.6120230231192465,1.225806451612903,5.725161290322581,3.215298870967742
1991-06-01,0.974605696572164,-0.07660776197723353,-1.4840608763554866,,-0.5082237960312568,0.5806451612903225,6.286333333333333,4.944808116666667
1991-07-01,-0.4843352278208726,0.009124614732486973,-1.4553475561864602,,-1.1229586122689084,-0.5806451612903225,4.69,4.0473800483870965
1991-08-01,0.021941180986380458,0.16723433678793878,-1.0001588361233822,,-1.2368084759774214,-0.4516129032258065,3.6719354838709677,3.487594493548387
1991-09-01,-1.3142871945394585,-1.2628487942569686,-1.001651110454713,,-1.7242862141508912,-1.870967741935484,2.753333333333333,1.72328061
1991-10-01,-1.089238919144951,-1.6026245335069347,-1.1267391185496143,,-0.8246157803913824,-1.870967741935484,2.374516129032258,1.544138606451613
1991-11-01,-0.07307771866438566,-1.6881933837305096,-1.0345142144780775,,-0.10950882118252979,-1.4838709677419355,2.8376666666666663,3.053550983333333
1991-12-01,0.8251778073757406,-0.24835564637485785,-1.1436044055114412,-2.0199310627461715,0.6421412350949168,-1.2258064516129032,9.011612903225807,6.001961580645162
1992-01-01,0.3156987044488154,0.41512666543992394,-0.7678408860006587,-1.7092054875687888,0.9222443447173083,0.7096774193548385,11.910645161290324,8.483736896774193
1992-02-01,0.20989790912383063,0.5662674824331038,-0.6750127127571485,-1.3172477613996572,0.9431729879945635,0.7096774193548385,11.175172413793103,6.921096458620689
1992-03-01,0.7775814588694874,0.5320959704803494,0.13335112836916638,-0.6841541725518616,0.8282377312671623,0.5806451612903225,13.43,8.59266895483871
1992-04-01,-0.8185444681502633,-0.017451109641421544,0.19785548030539576,-0.7139545126827845,0.4084514120059853,1.096774193548387,10.289333333333333,5.773559039999999
1992-05-01,-1.5797619965200775,-0.8385637716881754,-0.20834496873132935,-0.9794585891374326,-0.5703348035131096,-0.5806451612903225,4.058709677419355,3.429147109677419
1992-06-01,0.5780919486247507,-1.036371917991951,-0.35328481775470294,-1.1686093369724748,-1.5251829739280844,-0.19354838709677447,4.217666666666667,4.694631723333333
1992-07-01,1.5624825475281687,0.6883406902789294,0.40868523327894923,-0.30636580316533846,-1.1010071719224466,1.3548387096774195,6.260322580645161,7.808494703225807
1992-08-01,0.3666729742798915,1.3576744160752605,0.47752149148629736,-0.18907501140275768,-0.6023981571579745,-0.7096774193548387,3.5090322580645164,4.646227035483871
1992-09-01,-0.9625704058730779,0.7060604465909586,-0.20333174891542863,-0.13220490106096547,-0.5186301799798787,-0.32258064516129026,3.633666666666667,3.5380974066666666
1992-10-01,-0.2553928793145461,-0.7000223059087134,-0.02306771999523935,0.04651317997918051,-0.415382213515307,-1.4838709677419355,3.2670967741935484,2.9802008516129033
1992-11-01,-0.05712735963191101,-1.030213271602811,0.37741331236694275,0.05116276254064418,0.17727453806668744,-0.19354838709677447,4.626666666666667,4.429287176666667
1992-12-01,-0.4453744512639691,-0.7689074797677516,-0.04911645181841192,-0.37821217429758996,0.5451341682435635,-0.4516129032258065,5.505806451612903,4.690525961290323
1993-01-01,-0.1258222044785887,-0.6865018231316325,-1.1035361620226076,-0.5251914814093374,0.6398248634913095,-0.967741935483871,5.9961290322580645,5.319452193548387
1993-02-01,-0.7054215294095147,-1.0769074170449098,-1.6258165608022406,-0.7901672561779588,0.5504853875575468,-0.967741935483871,6.121428571428572,4.559489328571429
1993-03-01,0.2095955916009409,-0.629356949781051,-1.111107450455176,-1.0276253509500914,0.5224639505527096,0.19354838709677402,11.019354838709676,6.125212790322581
1993-04-01,-0.3598719954665631,-0.7733214609916632,-1.156313531409353,-0.9132791593081288,0.11928293711140961,0.5806451612903225,6.616666666666666,5.092662116666667
1993-05-01,-0.06306158539056404,-0.4159468956875667,-1.1592334758933518,-0.5867377284441347,-0.4577530601085871,-0.967741935483871,4.201935483870967,3.7107113612903224
1993-06-01,0.7728242204502982,0.010978521236679025,-0.5279103840615267,-0.5028256846700816,-0.8969161154352048,1.7419354838709684,5.16,5.5340691133333335
1993-07-01,0.9886165668995036,0.8318615884424735,0.055193426223856576,-0.8149518104894447,-0.7304956407172641,1.4838709677419355,6.182903225806451,6.31800704516129
1993-08-01,0.017711604827800768,0.8700440016766506,0.30035866483455514,-0.9425377276641719,-0.6235778011157584,0.7096774193548385,4.158709677419355,4.398192119354839
1993-09-01,-0.4021502891292427,0.2129080605618188,0.06567600481324526,-0.8114619175635631,-0.5567314522732856,0.19354838709677402,4.589666666666667,4.010702326666666
1993-10-01,-0.4347508251249244,-0.7986267311245739,0.04055637723308915,-0.8616904473533255,-0.35405760124699376,-1.6129032258064515,3.3338709677419356,2.9467467451612905
1993-11-01,-0.6428065895840638,-1.2263590361786774,-0.1626829155714315,-1.027645046491437,0.154900309253957,-0.7096774193548387,3.645,3.3747436066666667
1993-12-01,1.4764453050194115,0.32672647058618515,0.29336881668835035,-0.23641129316848228,0.8210842014004016,0.19354838709677402,13.945483870967742,10.831154570967742
1994-01-01,-0.1269491347960726,0.4682217814764895,-0.266387440053028,-0.23674043772842446,0.9368166063059693,0.9677419354838706,9.166451612903227,7.589144667741936
1994-02-01,-0.40808554218433707,0.5604024504189983,-0.43625287459717055,-0.16771932733379158,0.9476697342071794,0.838709677419355,7.408928571428571,6.104265414285714
1994-03-01,0.9905349675534763,0.13343700747068482,0.2367911737566921,0.14018137572134132,0.7191610051590153,1.7419354838709684,17.809677419354838,13.040787051612902
1994-04-01,0.352313591561666,0.40828975324920913,0.5371916814825145,0.3498209532136275,0.5583075347840181,1.612903225806451,13.028666666666668,10.621170156666667
1994-05-01,0.39216994936509697,0.8106528023371167,0.8980432519388182,0.4918119058646064,0.25297582187177625,0.838709677419355,5.5841935483870975,6.3003395935483875
1994-06-01,-0.17532228567499866,0.07677320585172336,0.05414489862963047,0.17427142045774996,-0.6947187443810903,-0.06451612903225801,4.629666666666667,5.333700426666667
1994-07-01,-0.4293120446584221,-0.3861556228383827,-0.05483315763141507,-0.31976715810742784,-1.8952391246773141,-1.3548387096774195,3.276774193548387,3.865392609677419
1994-08-01,1.4851984899400361,0.5366697001831487,0.8813355685839056,0.2960719201829952,-1.2701382422838683,1.096774193548387,5.0680645161290325,7.4928426741935485
1994-09-01,-0.16954129479577532,0.5393888854098914,0.35724429456330414,0.35498977269686877,-0.6725217065049114,1.225806451612903,4.288333333333333,6.76146942
1994-10-01,-0.5958309435825349,0.47341801451782667,-0.0030925119631913063,0.31895118375895026,0.16087458789986053,-0.8387096774193548,3.495483870967742,3.9085851741935485
1994-11-01,0.07052559541805109,-0.7057425908141653,-0.15296775770880186,0.4983695330150474,0.27393577208890657,-1.3548387096774195,4.563000000000001,4.555447936666667
1994-12-01,0.20060545664696042,-0.45537654672267674,0.005387792695681424,-0.03997673166968586,0.5933155720995356,-0.19354838709677447,7.529032258064516,6.597166058064516
1995-01-01,0.36964933508019165,0.09999638173256935,0.3231586432030718,0.11838530225351093,0.8297803861331747,0.06451612903225801,9.837096774193547,7.259538658064516
1995-02-01,-0.19084085798484382,-0.04628557592518695,-0.6234599417128055,0.17410378676375854,0.7790348761876656,1.3548387096774195,11.333928571428572,8.6457668
1995-03-01,-0.6642953225171997,-0.5279683682921383,-0.8110144581838846,-0.37660940121189435,0.5469100136681637,-0.7096774193548387,5.414193548387097,4.790352809677419
1995-04-01,1.3451482325672885,0.30758611011704834,0.19892182699025737,0.06180521980592984,0.540132793307303,2.0,19.736666666666668,13.973120593333334
1995-05-01,0.7178712764681577,0.8297208498594295,0.5011773248091589,0.18585552878981446,0.3054954164803591,1.870967741935484,10.048387096774194,9.461624351612903
1995-06-01,1.1459672051014462,1.7228735542458304,0.9675963214422875,0.6611005464128875,0.3364045642831004,2.0,15.406666666666666,12.644871276666667
1995-07-01,0.8893475432501758,1.4257647708605758,1.2062659682043901,1.0670701340029909,-0.3448224553784787,-0.32258064516129026,6.339032258064516,7.266558964516129
1995-08-01,1.4286738639283545,1.87548497112462,1.9020805834482044,1.0400204959065598,-0.12365849515411047,-0.5806451612903225,4.540322580645161,7.199436232258064
1995-09-01,1.1101272148288146,1.8532946008954534,2.494705746667165,1.4593751817773626,0.15667684744545998,2.0,15.800666666666666,15.1970268
1995-10-01,-1.0810101242434904,1.0458072961812774,1.698666408329091,1.3789352605844307,0.3527231130270536,0.3225806451612905,6.634516129032258,6.369117706451613
1995-11-01,1.3093843287238556,0.9506938058602585,1.980973177525979,1.807173505892663,0.7822577945505649,1.7419354838709684,18.474333333333334,14.409738223333333
